UnitID,Institution Name,Grand total (EF2019  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),
160074,Franciscan Missionaries of Our Lady University,78,83,101,92,94,107,111,116,
114734,Franciscan School of Theology,,,,,,,,,
205957,Franciscan University of Steubenville,494,576,479,456,456,464,460,435,
212577,Franklin and Marshall College,627,611,645,639,592,592,605,599,
150604,Franklin College,270,272,267,238,290,327,272,289,
182795,Franklin Pierce University,416,461,462,635,424,456,450,547,
202806,Franklin University,433,83,29,43,44,58,86,193,
441982,Franklin W Olin College of Engineering,85,84,90,79,76,79,82,81,
220215,Freed-Hardeman University,327,308,315,325,294,344,356,321,
114813,Fresno Pacific University,177,235,203,213,168,202,213,256,
155089,Friends University,177,173,176,165,166,182,184,196,
114840,Fuller Theological Seminary,,,,,,,,,
218070,Furman University,648,713,702,748,669,726,756,695,
481030,Future Generations University,,,,,,,,,
131450,Gallaudet University,183,201,247,245,178,182,201,213,
212601,Gannon University,734,771,645,631,618,596,622,630,
198561,Gardner-Webb University,402,409,381,444,460,494,434,493,
145275,Garrett-Evangelical Theological Seminary,,,,,,,,,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,314,306,303,292,337,315,338,340,
208822,George Fox University,603,594,634,635,682,629,619,422,
131469,George Washington University,2619,2845,2610,2525,2589,2416,2356,2387,
156745,Georgetown College,314,262,306,297,282,273,268,237,
131496,Georgetown University,1582,1621,1597,1573,1567,1578,1594,1570,
184773,Georgian Court University,197,283,216,221,151,230,275,161,
212674,Gettysburg College,681,748,720,696,699,720,703,769,
230889,Goddard College,8,5,4,9,6,5,2,7,
202903,Gods Bible School and College,56,42,46,59,56,41,67,57,
115083,Golden Gate University-San Francisco,,,,1,1,,,,
130989,Goldey-Beacom College,163,151,165,164,120,166,100,96,
235316,Gonzaga University,1248,1196,1257,1271,1337,1048,1238,1096,
202912,Good Samaritan College of Nursing and Health Science,8,17,24,26,20,10,16,18,
129154,Goodwin University,339,329,307,335,240,318,250,370,
165936,Gordon College,358,432,417,425,441,403,478,465,
165945,Gordon-Conwell Theological Seminary,,,,,,,,,
150668,Goshen College,160,200,216,185,177,159,167,168,
162654,Goucher College,340,466,420,441,390,403,401,410,
170000,Grace Christian University,126,97,140,140,155,106,141,104,
150677,Grace College and Theological Seminary,363,320,349,403,384,394,372,344,
461528,Grace College of Divinity,16,9,19,5,47,26,55,43,
481058,Grace Mission University,72,2,2,8,9,25,76,,
481401,Grace School of Theology,19,39,35,27,41,2,2,,
153366,Graceland University-Lamoni,193,267,255,258,290,282,326,232,
115214,Graduate Theological Union,,,,,,,,,
153375,Grand View University,332,329,331,338,267,279,298,294,
212771,Gratz College,,,,,,,,,
170091,Great Lakes Christian College,40,24,33,31,46,26,51,33,
198598,Greensboro College,181,181,223,249,227,183,201,243,
145372,Greenville University,226,221,220,200,260,268,277,262,
153384,Grinnell College,459,463,447,414,442,435,423,444,
212805,Grove City College,490,608,636,583,547,637,648,670,
198613,Guilford College,380,360,343,428,325,359,406,322,
173647,Gustavus Adolphus College,642,651,588,541,614,613,610,678,
212832,Gwynedd Mercy University,240,276,266,225,240,205,211,250,
225201,Hallmark University,124,80,58,66,79,71,81,150,
191515,Hamilton College,473,481,480,472,473,469,491,469,
173665,Hamline University,547,538,535,548,513,521,536,541,
232256,Hampden-Sydney College,228,343,312,283,305,322,292,342,
166018,Hampshire College,19,282,325,320,370,324,381,357,
232265,Hampton University,926,922,1018,1280,934,882,1004,887,
177542,Hannibal-LaGrange University,125,132,168,157,161,157,196,195,
150756,Hanover College,290,356,343,308,304,293,334,372,
225247,Hardin-Simmons University,479,484,457,393,413,339,414,395,
107044,Harding University,808,857,945,1019,992,1067,1041,1022,
446640,Harrisburg University of Science and Technology,223,188,201,135,117,104,108,134,
129491,Hartford Seminary,,,,,,,,,
191533,Hartwick College,376,407,351,402,292,419,528,456,
166027,Harvard University,1646,1653,1688,1659,1659,1650,1658,1665,
115409,Harvey Mudd College,224,234,225,214,214,194,217,198,
181127,Hastings College,316,263,306,273,293,345,345,236,
212911,Haverford College,363,357,349,349,346,338,330,323,
173683,Hazelden Betty Ford Graduate School of Addiction Studies,,,,,,,,,
166045,Hebrew College,,,,,,,,,
145497,Hebrew Theological College,7,10,14,88,363,277,340,366,
203067,Hebrew Union College-Jewish Institute of Religion,,,,,,,,,
203085,Heidelberg University,332,329,319,372,272,364,351,345,
191597,Helene Fuld College of Nursing,,,,,,,7,5,
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,13,9,9,13,31,14,16,13,
107080,Hendrix College,284,309,338,352,395,314,450,369,
101453,Heritage Christian University,1,7,13,2,7,2,8,5,
235422,Heritage University,123,117,108,113,105,122,84,91,
200785,Herzing University-Akron,79,46,44,64,63,44,35,69,
140340,Herzing University-Atlanta,50,58,32,57,56,30,39,41,
101365,Herzing University-Birmingham,41,39,51,64,71,70,51,45,
459851,Herzing University-Brookfield,48,56,8,17,22,38,53,41,
459842,Herzing University-Kenosha,10,25,13,7,32,37,54,63,
240392,Herzing University-Madison,78,121,126,144,245,255,227,307,
174154,Herzing University-Minneapolis,10,36,45,33,15,22,9,50,
433536,Herzing University-New Orleans,22,15,17,32,38,37,24,37,
386472,Herzing University-Orlando,17,42,21,16,8,10,12,21,
155177,Hesston College,130,133,166,139,151,162,165,168,
198695,High Point University,1400,1423,1111,1382,1362,1386,1162,1257,
485403,High Tech High Graduate School of Education,,,,,,,,,
191621,Hilbert College,160,223,169,148,154,168,188,184,
170286,Hillsdale College,343,341,369,364,362,,,,
203128,Hiram College,228,233,257,207,161,276,290,308,
191630,Hobart William Smith Colleges,458,611,634,582,631,643,638,600,
134510,Hobe Sound Bible College,31,51,55,49,39,51,34,18,
367884,Hodges University,72,102,89,149,146,134,170,201,
191649,Hofstra University,1523,1555,1638,1647,1651,1714,1616,1488,
232308,Hollins University,185,199,155,224,196,165,146,128,
129534,Holy Apostles College and Seminary,15,11,14,16,12,5,1,8,
150774,Holy Cross College,189,173,203,230,208,188,165,117,
239743,Holy Family College,71,52,92,56,62,45,40,50,
212984,Holy Family University,344,354,361,328,343,251,291,309,
115728,Holy Names University,162,176,177,96,119,89,87,134,
457086,Homestead Schools,8,8,6,1,,20,14,57,
162760,Hood College,320,239,256,219,258,289,281,271,
443076,Hood Theological Seminary,,,,,,,1,2,
170301,Hope College,689,798,779,725,788,830,822,903,
120537,Hope International University,109,91,96,111,120,94,85,129,
457226,Horizon University,8,,,,1,2,3,2,
191676,Houghton College,270,257,268,272,267,251,223,234,
225399,Houston Baptist University,727,531,519,577,545,615,568,518,
246345,Houston Graduate School of Theology,,,,,,,,,
225548,Howard Payne University,249,251,253,330,281,302,347,299,
131520,Howard University,1925,1501,2079,901,1676,1479,1594,1394,
164368,Hult International Business School,192,212,167,125,123,,,,
115773,Humphreys University-Stockton and Modesto Campuses,7,16,7,14,18,38,59,108,
101435,Huntingdon College,256,249,294,277,252,227,261,276,
150941,Huntington University,238,247,219,207,205,226,226,240,
449348,Huntsville Bible College,9,12,3,6,8,8,8,12,
487524,Husson University,591,656,578,617,535,,,,
225575,Huston-Tillotson University,204,223,183,145,146,206,228,209,
193405,Icahn School of Medicine at Mount Sinai,,,,,,,,,
127273,Iliff School of Theology,,,,,,,,,
145691,Illinois College,323,294,258,293,240,253,270,285,
145628,Illinois College of Optometry,,,,,,,,,
145725,Illinois Institute of Technology,583,608,471,503,479,440,464,406,
145646,Illinois Wesleyan University,409,494,378,425,450,455,527,490,
213011,Immaculata University,259,193,201,219,190,224,289,249,
465812,Independence University,2030,7186,2199,772,794,731,578,301,
151290,Indiana Institute of Technology,435,433,1314,1540,1596,1327,920,724,
492962,Indiana Institute of Technology-College of Professional Studies,286,608,,,,,,,
151801,Indiana Wesleyan University-Marion,670,718,787,684,1426,1471,1437,1543,
488679,Indiana Wesleyan University-National & Global,798,711,670,860,,,,,
145886,Institute for Clinical Social Work,,,,,,,,,
462044,Institute for Doctoral Studies in the Visual Arts,,,,,,,,,
489335,Institute of Buddhist Studies,,,,,,,,,
454838,Institute of Taoist Education and Acupuncture,,,,,,,,,
455804,Institute of World Politics,,,,,,,,,
140146,Interdenominational Theological Center,,,,,,,,,
436614,International Baptist College and Seminary,9,8,7,15,3,14,10,8,
448691,International Institute for Restorative Practices,,,,,,,,,
443128,International Technological University,,,,,,,,,
191931,Iona College,641,853,860,935,842,802,922,722,
153621,Iowa Wesleyan University,152,170,238,205,120,75,103,113,
441238,Irell & Manella Graduate School of Biological Sciences at City of Hope,,,,,,,,,
191968,Ithaca College,1509,1666,1622,1634,1809,1560,1789,1580,
134945,Jacksonville University,657,624,576,551,493,398,539,504,
225885,Jarvis Christian College,202,350,258,270,251,190,158,177,
192040,Jewish Theological Seminary of America,38,31,38,43,39,41,33,39,
107141,John Brown University,319,319,326,323,358,318,303,318,
203368,John Carroll University,725,844,753,715,761,799,793,682,
116712,John F. Kennedy University,6,,,,,,,,
462354,John Paul the Great Catholic University,74,85,77,74,63,59,40,40,
162928,Johns Hopkins University,1475,1420,1419,1368,1368,1470,1390,1391,
445708,Johnson & Wales University-Charlotte,428,487,570,655,701,610,624,574,
439288,Johnson & Wales University-Denver,286,296,254,315,317,309,337,369,
414823,Johnson & Wales University-North Miami,376,372,418,472,446,454,491,487,
217235,Johnson & Wales University-Providence,1494,1445,1625,2025,1916,1898,1995,1956,
198756,Johnson C Smith University,328,350,339,302,334,268,232,386,
220473,Johnson University,145,170,153,138,167,192,162,180,
132879,Johnson University Florida,56,68,56,36,38,43,47,83,
101541,Judson College,52,66,79,131,64,98,67,77,
146339,Judson University,189,158,181,192,156,201,201,163,
461139,Jung Tao School of Classical Chinese Medicine,,,,,,,,,
213251,Juniata College,398,350,341,394,356,423,391,402,
170532,Kalamazoo College,395,408,448,347,364,357,453,334,
155308,Kansas Christian College,49,52,39,39,22,8,,,
177746,Kansas City Art Institute,183,139,171,163,146,134,141,175,
179812,Kansas City University of Medicine and Biosciences,,,,,,,,,
490601,Kansas City University of Medicine and Biosciences-Joplin,,,,,,,,,
155414,Kansas Wesleyan University,141,146,183,166,160,144,151,139,
440031,Keck Graduate Institute,,,,,,,,,
192165,Kehilath Yakov Rabbinical Seminary,43,41,49,38,48,41,44,23,
135081,Keiser University-Ft Lauderdale,5994,4887,6320,6901,5998,2796,2289,3658,
177816,Kenrick Glennon Seminary,,8,8,6,9,8,8,8,
157100,Kentucky Christian University,215,155,164,153,108,171,129,199,
157030,Kentucky Mountain Bible College,15,15,16,20,17,14,20,19,
157076,Kentucky Wesleyan College,245,250,192,194,177,230,163,157,
203535,Kenyon College,487,539,453,487,492,448,480,446,
203544,Kettering College,72,51,45,58,62,62,67,90,
169983,Kettering University,346,364,371,418,434,364,376,372,
192192,Keuka College,299,330,367,365,318,229,241,230,
213303,Keystone College,343,335,331,319,293,314,323,363,
220516,King University,205,188,197,159,170,189,237,226,
213321,King's College,560,555,625,573,522,487,500,514,
146427,Knox College,320,345,358,347,386,362,380,390,
171881,Kuyper College,18,28,32,38,49,55,38,68,
213358,La Roche University,205,225,227,265,291,223,229,249,
213367,La Salle University,793,1049,1052,869,815,918,939,926,
117627,La Sierra University,334,356,420,327,435,467,477,506,
165264,Laboure College,,3,13,9,8,10,18,12,
213376,Lackawanna College,469,481,434,438,329,417,380,381,
213385,Lafayette College,698,733,680,649,672,648,635,629,
140234,LaGrange College,250,211,274,239,269,238,271,198,
117168,Laguna College of Art and Design,139,117,92,88,82,68,68,78,
203580,Lake Erie College,207,197,219,219,214,186,206,276,
407629,Lake Erie College of Osteopathic Medicine,,,,,,,,,
146481,Lake Forest College,379,392,355,360,356,410,399,416,
146490,Lake Forest Graduate School of Management,,,,,,,,,
238980,Lakeland University,213,217,183,207,368,179,216,216,
146533,Lakeview College of Nursing,,,,,,,,,
213400,Lancaster Bible College,171,190,159,178,197,246,152,148,
213446,Lancaster Theological Seminary,,,,,,,,,
247649,Landmark College,95,101,91,104,106,119,138,130,
220598,Lane College,405,349,428,403,444,312,405,325,
166391,Lasell University,454,381,411,439,490,501,485,558,
170675,Lawrence Technological University,361,387,373,375,349,337,365,341,
239017,Lawrence University,386,400,353,374,400,385,395,412,
192323,Le Moyne College,654,657,545,631,634,678,622,521,
220604,Le Moyne-Owen College,150,156,170,193,191,162,159,184,
213507,Lebanon Valley College,478,473,466,428,456,414,415,404,
220613,Lee University,792,880,901,889,835,756,812,853,
198808,Lees-McRae College,174,222,208,187,198,216,226,182,
213543,Lehigh University,1406,1275,1234,1249,1261,1299,1198,1217,
198835,Lenoir-Rhyne University,481,538,408,491,448,347,311,330,
166452,Lesley University,320,378,383,398,381,310,323,335,
226231,LeTourneau University,362,335,321,280,302,367,339,362,
209056,Lewis & Clark College,507,562,526,506,654,563,473,552,
146612,Lewis University,639,645,609,642,702,744,694,673,
157207,Lexington Theological Seminary,,,,,,,,,
232557,Liberty University,5280,4661,4355,4048,4793,4714,4686,5441,
117520,Life Chiropractic College West,,,,,,,,,
117104,Life Pacific University,77,101,88,92,90,98,78,72,
140252,Life University,164,179,115,128,93,98,75,39,
218238,Limestone University,353,387,382,404,455,477,470,314,
146667,Lincoln Christian University,60,64,82,83,91,71,79,88,
146676,Lincoln College,323,275,298,298,386,377,396,369,
220631,Lincoln Memorial University,267,292,344,305,264,260,191,253,
117557,Lincoln University,5,5,6,20,35,14,14,51,
177968,Lindenwood University,798,1063,949,1008,1235,1201,1324,1351,
157216,Lindsey Wilson College,472,550,548,493,520,526,514,526,
209065,Linfield University-McMinnville Campus,459,326,400,393,475,464,449,443,
437325,Linfield University-Online and Continuing Education,,,,,,,,,
437316,Linfield University-School of Nursing,,,,,,,,,
219976,Lipscomb University,615,671,641,637,669,629,684,675,
198862,Livingstone College,344,377,366,380,421,453,395,355,
177986,Logan University,16,22,8,,,,,,
117636,Loma Linda University,,,,,,,,,
192448,Long Island University,1280,968,694,535,530,563,659,980,
166489,Longy School of Music of Bard College,9,9,18,12,6,11,12,13,
153825,Loras College,326,362,337,328,389,374,414,374,
159568,Louisiana College,257,261,311,248,212,236,265,293,
157298,Louisville Presbyterian Theological Seminary,,,,,,,,,
203757,Lourdes University,208,193,213,213,151,162,223,267,
117946,Loyola Marymount University,1467,1512,1446,1331,1354,1348,1341,1278,
146719,Loyola University Chicago,2630,2770,2654,2622,2353,2292,2512,2003,
163046,Loyola University Maryland,1081,1069,1021,1095,1033,1137,1096,1072,
159656,Loyola University New Orleans,830,789,803,615,665,615,624,872,
226383,Lubbock Christian University,282,294,310,320,275,264,255,314,
153834,Luther College,527,554,517,520,624,559,628,645,
135364,Luther Rice College & Seminary,5,8,10,17,19,20,19,14,
173896,Luther Seminary,,,,,,,,,
146728,Lutheran School of Theology at Chicago,,,,,,,,,
213668,Lycoming College,340,323,282,343,347,394,347,321,
132657,Lynn University,739,640,482,566,516,540,456,415,
106342,Lyon College,173,215,190,200,211,254,174,160,
173902,Macalester College,502,621,543,506,583,541,555,534,
192624,Machzikei Hadath Rabbinical College,38,27,44,27,34,36,27,24,
146825,MacMurray College,156,171,142,136,129,113,120,146,
170806,Madonna University,266,220,278,219,182,174,205,161,
182917,Magdalen College,31,24,15,24,34,15,,,
153861,Maharishi International University,20,20,17,21,21,21,19,36,
161509,Maine College of Art,119,98,121,122,113,122,105,82,
161022,Maine College of Health Professions,12,11,9,6,3,7,2,3,
203775,Malone University,244,313,338,311,245,314,316,353,
151777,Manchester University,334,410,398,389,396,441,367,372,
155496,Manhattan Christian College,37,70,95,60,79,70,73,73,
192703,Manhattan College,905,815,765,816,900,747,757,842,
192712,Manhattan School of Music,115,144,115,131,112,113,81,86,
192749,Manhattanville College,401,394,416,485,452,460,480,533,
213774,Manor College,174,214,184,120,170,200,184,229,
446394,Maple Springs Baptist Bible College and Seminary,11,,2,,7,,6,2,
239071,Maranatha Baptist University,147,153,148,204,188,193,210,190,
192785,Maria College of Albany,61,58,41,55,60,60,53,39,
151786,Marian University,385,425,338,392,311,332,336,300,
239080,Marian University,324,309,352,267,282,250,248,283,
203845,Marietta College,348,347,272,245,284,357,385,393,
192819,Marist College,1358,1299,1285,1225,1209,1127,1149,1098,
230940,Marlboro College,35,38,28,55,35,47,46,48,
440411,Marlboro College Graduate & Professional Studies,,,,,,,,,
239105,Marquette University,1977,2164,2023,2005,1876,1992,1990,1928,
198899,Mars Hill University,278,264,353,396,387,405,419,437,
123943,Marshall B Ketchum University,,,,,,,,,
173452,Martin Luther College,168,195,183,196,172,189,164,179,
220701,Martin Methodist College,233,276,246,262,275,454,338,281,
151810,Martin University,21,22,22,24,15,22,54,64,
232672,Mary Baldwin University,389,371,109,227,176,260,217,242,
163295,Maryland Institute College of Art,405,425,423,351,411,455,400,414,
164085,Maryland University of Integrative Health,,,,,,,,,
118541,Marymount California University,114,151,232,219,257,314,290,343,
192864,Marymount Manhattan College,437,483,546,552,524,511,418,485,
232706,Marymount University,392,422,405,442,393,353,400,375,
220710,Maryville College,272,282,301,323,338,334,349,313,
178059,Maryville University of Saint Louis,683,668,604,554,382,412,409,368,
213826,Marywood University,361,391,449,325,371,373,405,461,
166683,Massachusetts Institute of Technology,1102,1114,1097,1110,1106,1043,1115,1135,
369002,Massachusetts School of Law,,,,,,,,,
173957,Mayo Clinic College of Medicine and Science,36,,,,,,,,
146977,McCormick Theological Seminary,,,,,,,,,
164270,McDaniel College,575,415,450,388,420,409,453,437,
147013,McKendree University,332,362,364,458,362,421,387,297,
226587,McMurry University,259,221,246,284,297,208,250,303,
155511,McPherson College,225,175,202,196,194,152,170,177,
166656,MCPHS University,692,686,769,798,781,875,912,911,
147031,Meadville Lombard Theological School,,,,,,,,,
490328,Mechon L'hoyroa,,,,,,,,,
192925,Medaille College,407,372,359,340,381,442,443,400,
239169,Medical College of Wisconsin,,,,,,,,,
220792,Meharry Medical College,,,,,,,,,
220808,Memphis College of Art,,,47,77,88,100,115,69,
220871,Memphis Theological Seminary,,,,,,,,,
118693,Menlo College,240,157,153,157,148,190,134,169,
140447,Mercer University,925,1003,912,856,858,832,767,691,
193016,Mercy College,999,933,910,948,938,753,834,833,
153977,Mercy College of Health Sciences,59,41,47,35,46,46,46,43,
203960,Mercy College of Ohio,186,66,66,62,69,44,34,54,
213987,Mercyhurst University,586,644,589,713,590,614,602,681,
198950,Meredith College,376,401,395,423,438,471,415,408,
166850,Merrimack College,1179,1123,855,1005,828,858,794,699,
193061,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,10,6,4,8,4,1,4,6,
193052,Mesivta Torah Vodaath Rabbinical Seminary,13,4,9,5,6,8,17,14,
193070,Mesivtha Tifereth Jerusalem of America,12,15,12,19,19,23,12,18,
417752,Messenger College,3,8,9,8,36,94,13,16,
213996,Messiah University,606,647,665,685,691,696,648,708,
147129,Methodist College,12,16,9,21,12,4,14,31,
203997,Methodist Theological School in Ohio,,,,,,,,,
198969,Methodist University,378,385,412,485,520,532,558,452,
190114,Metropolitan College of New York,30,28,99,75,79,109,115,113,
166869,MGH Institute of Health Professions,,,,,,,,,
169220,Michigan School of Psychology,,,,,,,,,
169628,Michigan State University-College of Law,,,,,,,,,
245953,Mid-America Christian University,124,123,110,135,157,136,302,236,
151962,Mid-America College of Funeral Service,35,58,47,34,33,13,16,26,
199458,Mid-Atlantic Christian University,55,66,54,59,55,48,40,37,
481225,Mid-South Christian College,1,5,5,,1,3,7,,
155520,MidAmerica Nazarene University,192,167,223,180,191,205,223,212,
220996,Middle Tennessee School of Anesthesia Inc,,,,,,,,,
230959,Middlebury College,605,628,635,606,589,580,625,598,
119058,Middlebury Institute of International Studies at Monterey,,,,,,,,,
181330,Midland University,317,330,326,341,310,331,367,364,
157377,Midway University,219,235,151,131,73,78,107,123,
178208,Midwestern Baptist Theological Seminary,68,89,74,96,54,70,55,31,
143853,Midwestern University-Downers Grove,,,,,,,,,
423643,Midwestern University-Glendale,,,,,,,,,
101675,Miles College,311,354,309,429,424,489,406,443,
486901,Milligan University,226,175,204,196,187,,,,
147244,Millikin University,487,468,474,445,420,477,451,533,
118888,Mills College,134,160,174,169,140,188,217,208,
175980,Millsaps College,203,245,229,252,222,236,171,210,
239309,Milwaukee Institute of Art & Design,284,236,197,174,178,145,157,153,
239318,Milwaukee School of Engineering,582,597,515,551,512,578,539,486,
174127,Minneapolis College of Art and Design,178,174,133,163,145,120,116,120,
193247,Mirrer Yeshiva Cent Institute,26,34,49,36,52,45,34,42,
214069,Misericordia University,414,415,440,430,439,447,438,523,
211130,Missio Theological Seminary,,,,,,,,,
176053,Mississippi College,465,523,571,574,604,591,598,482,
178244,Missouri Baptist University,290,255,283,287,261,231,268,242,
178369,Missouri Valley College,437,525,392,449,435,376,415,369,
129774,Mitchell College,124,148,147,120,130,146,178,150,
175281,Mitchell Hamline School of Law,,,,,,,,,
193292,Molloy College,581,598,514,565,539,492,501,455,
147341,Monmouth College,254,243,281,285,270,394,390,340,
185572,Monmouth University,994,1050,1083,1089,1128,1056,906,1006,
262165,Montana Bible College,,,,,,15,,17,
127954,Montessori Education Center of the Rockies,10,12,12,6,11,4,3,2,
199032,Montreat College,171,148,176,165,158,109,108,102,
166911,Montserrat College of Art,104,101,92,93,81,102,103,97,
147369,Moody Bible Institute,195,245,288,301,446,480,468,483,
214148,Moore College of Art and Design,103,98,89,71,97,87,75,105,
214157,Moravian College,428,449,477,484,523,386,355,378,
140553,Morehouse College,568,605,617,611,598,540,486,570,
140562,Morehouse School of Medicine,,,,,,,,,
154004,Morningside College,367,345,354,341,381,353,357,273,
218399,Morris College,200,196,236,219,213,225,250,264,
214166,Mount Aloysius College,246,254,267,275,376,386,394,379,
209241,Mount Angel Seminary,6,3,7,2,13,8,15,13,
204176,Mount Carmel College of Nursing,44,69,95,112,95,83,96,85,
166939,Mount Holyoke College,496,628,529,569,513,531,513,496,
219198,Mount Marty University,131,135,121,117,112,122,126,131,
239390,Mount Mary University,126,145,123,118,146,155,114,95,
154013,Mount Mercy University,219,240,239,241,235,134,154,158,
204200,Mount Saint Joseph University,290,318,277,249,343,297,324,282,
193353,Mount Saint Mary College,339,388,401,387,422,413,449,442,
119173,Mount Saint Mary's University,402,405,496,572,550,494,559,535,
163462,Mount St. Mary's University,513,549,524,417,506,510,429,447,
204194,Mount Vernon Nazarene University,324,373,334,452,358,311,302,290,
214175,Muhlenberg College,538,548,564,593,582,589,579,581,
209287,Multnomah University,64,71,67,72,57,48,55,32,
204264,Muskingum University,388,369,384,319,360,384,404,410,
127653,Naropa University,30,30,40,32,40,63,37,27,
239424,Nashotah House,,,,,,,,,
147536,National Louis University,688,605,506,315,81,16,28,30,
119605,National University,24,18,146,117,285,223,809,893,
147590,National University of Health Sciences,,,,,,,,,
209296,National University of Natural Medicine,,,,,,,,,
127714,Nazarene Bible College,14,14,17,18,18,28,39,18,
178518,Nazarene Theological Seminary,,,,,,,,,
193584,Nazareth College,516,544,550,517,521,476,423,472,
181376,Nebraska Christian College of Hope International University,25,32,46,22,31,28,56,45,
181297,Nebraska Methodist College of Nursing & Allied Health,48,51,45,44,33,38,44,29,
181446,Nebraska Wesleyan University,487,487,406,420,439,368,379,356,
163532,Ner Israel Rabbinical College,31,34,42,35,34,42,41,34,
214272,Neumann University,418,421,360,375,401,416,503,574,
185758,New Brunswick Theological Seminary,,,,,,,,,
182980,New England College,472,409,480,345,429,363,383,328,
167093,New England College of Optometry,,,,,,,,,
217305,New England Institute of Technology,481,525,523,444,417,490,498,444,
167215,New England Law-Boston,,,,,,,,,
208725,New Hope Christian College-Eugene,23,21,14,23,27,31,34,58,
159948,New Orleans Baptist Theological Seminary,177,82,,239,312,282,189,257,
440396,New Saint Andrews College,34,47,33,37,42,,44,45,
366368,New York Academy of Art,,,,,,,,,
193751,New York Chiropractic College,,,,,,,,,
418126,New York College of Health Professions,31,41,29,41,24,48,64,127,
194073,New York College of Podiatric Medicine,,,,,,,,,
439783,New York College of Traditional Chinese Medicine,,,,,,,,,
194091,New York Institute of Technology,849,889,894,713,742,712,832,898,
193821,New York Law School,,,,,,,,,
193830,New York Medical College,,,,,,,,,
194116,New York School of Interior Design,22,18,25,17,12,21,32,23,
193894,New York Theological Seminary,,,,,,,,,
193900,New York University,5752,6174,6022,6133,5917,5913,5207,5140,
218414,Newberry College,340,374,353,285,267,277,237,220,
155335,Newman University,184,183,212,180,163,174,165,192,
193973,Niagara University,626,515,590,625,643,618,700,641,
167260,Nichols College,343,355,375,351,327,400,380,331,
461795,North American University,56,60,50,95,111,87,80,126,
199209,North Carolina Wesleyan College,286,390,355,318,320,322,231,222,
147660,North Central College,557,550,603,589,599,576,529,552,
174437,North Central University,245,220,201,220,220,215,246,269,
218441,North Greenville University,404,504,536,485,542,584,504,527,
147679,North Park University,371,421,388,378,358,403,373,346,
439817,Northeastern Seminary,,,,,,,,,
167358,Northeastern University,2995,2746,3108,2676,2797,2944,2891,2664,
482705,Northeastern University Lifelong Learning Network,,,,,,,,,
147697,Northern Baptist Theological Seminary,,,,,,,,,
239512,Northland College,165,145,189,168,128,150,140,183,
217606,Northpoint Bible College,46,52,63,64,60,49,45,44,
443030,NorthShore University HealthSystem School of Nurse Anesthesia,,,,,,,,,
142461,Northwest Nazarene University,278,278,281,225,250,276,252,243,
236133,Northwest University,190,220,191,198,203,260,215,215,
487603,Northwest University-College of Adult and Professional Studies,85,95,103,83,91,,,,
154101,Northwestern College,293,271,281,282,260,315,284,302,
174507,Northwestern Health Sciences University,5,1,4,6,6,3,10,9,
147767,Northwestern University,2006,1931,1903,1985,2018,2043,2040,2037,
171492,Northwood University,300,283,285,338,352,367,299,326,
230995,Norwich University,663,682,684,799,597,657,590,603,
204468,Notre Dame College,341,297,305,286,345,338,334,386,
120184,Notre Dame de Namur University,120,179,169,157,173,177,172,182,
163578,Notre Dame of Maryland University,87,226,154,93,93,107,104,128,
136215,Nova Southeastern University,1526,1248,984,659,657,602,654,724,
194161,Nyack College,128,200,201,231,239,250,265,297,
174525,Oak Hills Christian College,13,24,26,19,22,28,29,28,
152099,Oakland City University,146,140,99,93,84,83,104,109,
101912,Oakwood University,299,318,368,391,338,374,365,408,
204501,Oberlin College,798,804,728,762,775,797,780,764,
227289,Oblate School of Theology,,,,,,,,,
120254,Occidental College,562,566,564,502,518,546,548,530,
140696,Oglethorpe University,401,334,334,333,326,282,284,277,
201964,Ohio Christian University,224,345,491,653,693,744,719,741,
204617,Ohio Dominican University,287,260,244,230,249,228,239,271,
204635,Ohio Northern University,608,682,640,598,585,628,613,630,
237640,Ohio Valley University,66,79,129,116,121,88,89,100,
204909,Ohio Wesleyan University,389,453,448,486,431,458,537,537,
194189,Ohr Hameir Theological Seminary,,,3,3,5,8,1,4,
207403,Oklahoma Baptist University,449,527,555,605,556,483,580,506,
207324,Oklahoma Christian University,397,454,513,454,450,506,530,451,
207458,Oklahoma City University,327,373,296,329,320,295,355,320,
206835,Oklahoma Wesleyan University,165,192,205,233,198,197,189,151,
171599,Olivet College,339,306,329,353,245,228,280,301,
147828,Olivet Nazarene University,696,692,752,704,734,780,753,672,
461120,Omega Graduate School,,,,,,,,,
207582,Oral Roberts University,554,573,632,486,453,403,397,469,
369659,Oregon College of Oriental Medicine,,,,,,,,,
