UnitID,Institution Name,Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1920),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1819_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),
142887,American Academy of Art,283499,354510,195231,198545,100100,67050,92350,88450,
219505,American Baptist College,0,5300,2120,47457,15330,10860,50711,500,
210809,American College of Financial Services,,,,,,,,,
109086,American Conservatory Theater,,,11250,13800,13375,,,,
108870,American Film Institute Conservatory,,,,,,,,,
164447,American International College,9373428,8507680,8631291,7543235,7452488,5888900,7298989,5835510,
142957,American Islamic College,,,,7250,7500,25250,,,
116846,American Jewish University,,123012,248079,69897,71972,123942,52220,102048,
188854,American Musical and Dramatic Academy,4496498,5219863,4839967,4557425,3454885,4159116,3481282,3032540,
131159,American University,27940310,24949466,33726524,29729923,33645526,30797535,24825703,24532997,
164465,Amherst College,14807509,16732808,13294060,11682635,12040654,13072158,11854512,10777976,
151865,Anabaptist Mennonite Biblical Seminary,,,,,,,,,
150066,Anderson University,4937121,5980801,4508096,5860642,5780060,5947231,5372968,6418120,
217633,Anderson University,10009541,9485766,8973602,7957637,8056896,7346513,5606686,5785168,
138761,Andrew College,905647,1076796,862456,1147188,1081142,1034608,1174051,1061242,
168740,Andrews University,4625475,4584370,4280675,4537484,3364731,2831418,3061674,4032901,
164492,Anna Maria College,6714844,7601200,6121028,4625399,4416241,2766843,3778754,3654775,
483018,Antioch College,575400,885447,558743,923304,1813560,2024266,2609148,1755387,
458113,Antioch College AG,11065,0,0,12940,6556,15625,9100,28511,
245838,Antioch University-Los Angeles,,,,,,,,,
245892,Antioch University-Midwest,,,,,,,,,
245865,Antioch University-New England,,,,,,,,,
442392,Antioch University-PhD Program in Leadership and Change,,,,,,,,,
245847,Antioch University-Santa Barbara,,,,,,,,,
245883,Antioch University-Seattle,,,,,,,60433,105736,
440138,Antioch University-System Administration,,,,,,,,,
237136,Appalachian Bible College,254184,245988,268683,205415,230412,166101,293172,290749,
449922,Appalachian College of Pharmacy,,,,,,,,,
432348,Appalachian School of Law,,,,,,,,,
168786,Aquinas College,5717175,6882044,6237083,5635603,6493705,5884251,6135746,6833135,
176600,Aquinas Institute of Theology,,,,,,,,,
211088,Arcadia University,14401799,12401174,14502665,15198946,13861632,15266181,13007054,13460785,
105899,Arizona Christian University,2762460,2354179,2072029,1662764,1343275,778707,459461,930366,
106306,Arkansas Baptist College,174551,36758,321805,127759,175000,175000,47990,40116,
488527,Arkansas Colleges of Health Education,,,,,,,,,
222877,Arlington Baptist University,46891,90740,20348,19500,16750,28250,11932,24390,
201061,Art Academy of Cincinnati,1173120,1002950,261000,563877,722100,554575,615090,420819,
109651,Art Center College of Design,1897132,1504016,1957148,1384800,1132306,1287400,1054914,842069,
156222,Asbury Theological Seminary,,,,,,,,,
156213,Asbury University,4430619,3682065,4106248,3631328,3048989,2937967,3186600,3058544,
201104,Ashland University,5732493,6272704,5812647,5706801,5300615,4618204,11530774,9829700,
188942,Associated Beth Rivkah Schools,5710,24830,31630,30910,62775,3195,4270,0,
164562,Assumption University,14524248,13481650,10705849,11199585,10494707,10668271,9469896,10243239,
201140,Athenaeum of Ohio,,,,,,,,,
439446,Atlantic Institute of Oriental Medicine,,,,,,,,,
173045,Augsburg University,13826243,8504668,8846673,9307798,8800029,6216726,10120376,5939519,
143084,Augustana College,19746293,17108823,19237048,17266380,16096206,16583388,11835672,12445959,
219000,Augustana University,9139608,9345971,9685219,8465791,6605687,7059856,6095416,6523288,
201177,Aultman College of Nursing and Health Sciences,67564,90056,44244,23958,500,1441,0,3388,
143118,Aurora University,10598113,9218960,9472891,7688418,6593647,6288205,7489593,5079236,
222983,Austin College,10867252,11974048,8916249,9041798,8465724,7953494,7941016,5375238,
247825,Austin Graduate School of Theology,,,,,,,,,
223001,Austin Presbyterian Theological Seminary,,,,,,,,,
442295,Ave Maria School of Law,,,,,,,,,
446048,Ave Maria University,4624949,5275540,3390296,2837156,3174586,2906756,3499737,3423192,
231420,Averett University,4138990,5284926,4804391,3762587,3603281,2959551,2872730,3325182,
449931,Averett University-Non-Traditional Programs,0,0,0,0,0,,0,,
176628,Avila University,1242119,1561917,2973974,2945650,2917625,2922021,2403445,2861200,
109785,Azusa Pacific University,13890109,19644503,17723206,19174956,18798942,14356752,13319499,11946855,
164580,Babson College,10384789,9575872,8807429,8500915,8897945,7682433,7432567,6583139,
206817,Bacone College,484440,286125,2155365,2632443,332562,185619,173615,1217931,
128586,Bais Binyomin Academy,6539,28128,13892,58900,56700,44500,76750,55456,
476601,Bais HaMedrash and Mesivta of Baltimore,58335,75265,87097,82055,85182,100722,84355,103800,
245777,Bais Medrash Elyon,85939,34200,11400,,10725,,,13375,
490513,Bais Medrash Mayan Hatorah,9679,50593,52053,65351,,,,,
449658,Bais Medrash Toras Chesed,40387,47330,155320,82425,98793,54760,97256,101037,
168847,Baker College,1040869,736703,1357710,3453484,4217030,5073651,1293567,1280838,
154688,Baker University,4575557,4645407,4802855,4091187,3154393,3899239,3824981,3339977,
420705,Bakke Graduate University,,,,,,,,,
201195,Baldwin Wallace University,13745764,13124496,12884611,12021583,13229767,11664742,11786041,10852580,
189015,Bank Street College of Education,,,,,,,,,
176664,Baptist Bible College,206627,154328,39098,383229,356400,136516,73986,0,
219639,Baptist Health Sciences University,282850,234530,175874,224885,156374,108625,107285,100155,
223117,Baptist Missionary Association Theological Seminary,,,,0,0,,,,
444398,Baptist University of the Americas,2000,2743,8106,10712,1607,4700,1510,12800,
155070,Barclay College,256000,276121,203000,350000,350000,311500,330000,407000,
189088,Bard College,17465194,14922861,13495164,12850767,9894590,14251734,11216348,11495908,
167792,Bard College at Simon's Rock,4965753,4204913,4220781,3603162,2661348,2577650,3807242,2803951,
189097,Barnard College,11011793,11858545,10401488,9509771,11762960,10565374,9643900,7643190,
177719,Barnes-Jewish College Goldfarb School of Nursing,,,,,,,,,
132471,Barry University,13447475,11449774,10356952,8057460,6836223,6478844,7941815,9085738,
197911,Barton College,5614487,4596407,3289366,3471287,3295371,2484700,2691314,2085111,
235547,Bastyr University,,,,,,,,,
160977,Bates College,9400504,9380215,9280701,8911673,8568375,7726854,8962257,7387717,
164632,Bay Path University,2894856,2504209,2991349,3519496,3208475,2318058,2550023,2469653,
223223,Baylor College of Medicine,,,,,,,,,
223232,Baylor University,71233007,71894463,75243501,66964019,62056415,61404234,50634803,48943794,
476717,Be'er Yaakov Talmudic Seminary,167117,48728,127207,204734,171716,156199,105396,17438,
384254,Beacon College,214837,436361,846251,485916,462125,337139,51004,22750,
164720,Becker College,5053825,5748790,6765879,7136552,6710074,6594482,4764515,4890267,
444413,Beis Medrash Heichal Dovid,97895,69141,92952,62043,26132,72721,62870,30028,
175421,Belhaven University,2361320,2677309,2845497,2771286,2611877,3127914,2243497,2011774,
156286,Bellarmine University,17344521,18851251,18337115,15131043,15902932,13960800,14107905,12138950,
180814,Bellevue University,157944,347928,211458,96639,146857,128247,97703,125,
238324,Bellin College,57770,118795,82250,84513,43346,12250,29482,0,
197984,Belmont Abbey College,2426498,2801406,2731662,2233127,1775860,1420881,1364283,4276061,
219709,Belmont University,26553100,19005147,15847215,15298849,11718178,11342358,8744894,8156204,
238333,Beloit College,9597674,9183662,10132857,11000503,10747002,7026664,7160150,6702230,
217721,Benedict College,7339330,5408321,2943721,4074029,4949641,4159600,4137419,4866820,
154712,Benedictine College,9187952,10822168,7622028,8291296,7456173,6158014,6357753,6242864,
145619,Benedictine University,4427619,7728298,6332250,8100205,6112040,7654540,6556803,6250686,
165884,Benjamin Franklin Institute of Technology,1552093,1585021,1000988,1280218,979203,1041351,913806,701025,
197993,Bennett College,339639,2776043,1102521,292656,474985,318120,397939,464302,
230816,Bennington College,5914153,6017894,7227374,5603351,5077995,6093659,3686833,4559656,
164739,Bentley University,19709887,20064851,19007666,18946202,14858520,17011238,15485035,15302558,
156295,Berea College,17413622,16441965,11547493,10752219,10721300,9918591,9106437,8396224,
461643,Bergin University of Canine Studies,,,,,,,,,
108861,Berkeley School of Theology,,,,,,,,,
164748,Berklee College of Music,14972335,12156821,13110915,13043495,10236021,7469235,6952836,6452747,
139144,Berry College,13317325,11147482,11600570,9750563,9894705,9348628,10197960,8624382,
485999,Bet Medrash Gadol Ateret Torah,171105,141081,155355,95543,62585,96632,,,
189273,Beth Hamedrash Shaarei Yosher Institute,0,46155,33690,25046,55620,32800,45241,46730,
183804,Beth Medrash Govoha,,,,,,,,,
486196,Beth Medrash Meor Yitzchok,488270,162988,164906,32683,209216,296230,,,
488314,Beth Medrash of Asbury Park,68943,123741,150237,13089,30555,,,,
154721,Bethany College,4892181,6051138,4709480,3247535,2156234,2630217,2651288,1552622,
237181,Bethany College,4670421,3382798,3066393,2627408,3086225,4199814,2547184,3350176,
486284,Bethany Global University,304172,287270,247729,319729,232599,130775,,,
173142,Bethany Lutheran College,3113576,2907533,2079429,1982340,1794244,1795234,1699322,1568948,
143233,Bethany Theological Seminary,,,,,,,,,
154749,Bethel College-North Newton,2736420,1839971,1944077,1458017,1724374,1440935,1638502,1210356,
262022,Bethel Seminary-San Diego,,,,,,,,,
150145,Bethel University,4911152,4635774,3197324,3177672,3891504,2988630,2940726,2524514,
173160,Bethel University,11806690,12967512,11434164,9313452,10263101,8790281,8881581,8237583,
219718,Bethel University,3455972,3566747,3681515,3357185,3589624,2749811,2238359,2544407,
110060,Bethesda University,9050,37295,24057,1300,183915,20866,600,1500,
486053,Bethlehem College & Seminary,20500,9920,0,0,9750,0,,,
132602,Bethune-Cookman University,2748536,3460022,5507038,3331806,2850489,3152296,4021392,3678349,
139153,Beulah Heights University,5234,4880,1111,260,818,17492,3878,22397,
443702,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,,,,,,,,,
110097,Biola University,17774618,16117308,14873280,12328037,10363918,10117384,9074108,8174900,
100937,Birmingham-Southern College,3132396,2267262,8240428,8078314,9974559,7892456,7641009,6289560,
442949,Birthingway College of Midwifery,,,,,,,,,
143288,Blackburn College,933958,1490737,1342892,2038947,1385302,1226924,684566,767299,
143297,Blessing Rieman College of Nursing and Health Sciences,,,,,,,,,
183822,Bloomfield College,5031109,5006054,4909578,5964564,4737472,3992797,3940564,2575179,
175430,Blue Mountain College,967886,939611,772462,672789,377266,401360,450730,387506,
231554,Bluefield College,2315620,2296550,2126341,2074736,1613014,1873354,1262877,1384564,
201371,Bluffton University,5148289,3230581,3481941,3460596,3414188,3847575,4113490,3766559,
217749,Bob Jones University,5282335,4024950,4145270,3029439,1988500,2859928,2438989,1616920,
142090,Boise Bible College,89588,61220,86822,76750,140066,132031,113292,112760,
233356,Bon Secours Memorial College of Nursing,,,,,,,0,0,
189413,Boricua College,211,0,1000,1000,1000,1860,1200,1200,
164872,Boston Architectural College,51400,23500,26900,25000,9400,6000,0,6000,
164614,Boston Baptist College,35050,33400,46200,21950,58825,25790,76200,133965,
164924,Boston College,44907675,43351107,44574244,38383568,34324238,33256219,31344880,31348849,
164915,Boston Graduate School of Psychoanalysis Inc,,,,,,,,,
164988,Boston University,64469151,71800057,69296975,54837272,54832574,55614326,53913030,53240976,
161004,Bowdoin College,12059025,11981250,11258725,9353543,8974272,8598140,8430656,8503915,
143358,Bradley University,19573619,18991762,21326735,17618836,13463921,12994705,13223586,12149930,
165015,Brandeis University,18117495,19845204,15516302,17701441,14347990,15452042,15479102,14025199,
262086,Brandman University,2640,14760,600,0,0,0,2700,,
139199,Brenau University,2752074,3396206,3892320,2218489,2789150,2758267,2539096,2229605,
156356,Brescia University,2215705,3462950,1614896,1443623,1801990,1888938,1563943,1626847,
198066,Brevard College,4002100,3977464,3647500,3340992,3326457,3149485,2967571,2556217,
139205,Brewton-Parker College,1519780,1563922,1231553,1161557,651498,663186,860728,737742,
152992,Briar Cliff University,2688543,2611485,2960475,3710647,2988680,3424997,2788491,3238700,
231581,Bridgewater College,12986768,15844113,12843574,13934556,11823770,10048011,10366946,10277664,
142522,Brigham Young University-Idaho,3954148,3799599,3964913,2608382,1301774,1140504,898262,1118335,
230038,Brigham Young University-Provo,10889343,11117612,9731167,9833643,9163383,6893039,6976785,7931229,
450304,Brite Divinity School,,,,,,,,,
189501,Brooklyn Law School,,,,,,,,,
217156,Brown University,34737568,32539557,30482738,27878108,26556034,26161297,26574900,24087011,
180878,Bryan College of Health Sciences,83243,43959,34157,44220,66089,14537,10000,12900,
219790,Bryan College-Dayton,2889028,2388944,2333874,2495016,1874872,1777731,1645335,1543889,
217165,Bryant University,17750018,17223354,17129850,15617749,15592977,12977454,13313622,11892937,
210492,Bryn Athyn College of the New Church,872903,676804,865842,610909,715365,727260,659029,460408,
211273,Bryn Mawr College,9117136,10483581,7825226,11123893,8426452,7043999,6996200,7246072,
211291,Bucknell University,17001361,15955137,16273524,13415686,15086928,13428750,13822726,12053772,
153001,Buena Vista University,5671893,4494752,3997036,3658588,3937876,3474848,4578809,3638224,
209409,Bushnell University,2019053,1705400,1546445,1248696,1233533,1113040,1083539,886665,
150163,Butler University,18797144,22426156,17076732,18141722,16878998,12823407,13574316,14925109,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
198109,Cabarrus College of Health Sciences,36778,4776,1625,29394,13650,24546,21720,4340,
211352,Cabrini University,7307636,8082975,7887731,7330163,5804791,5942230,4125156,5829777,
215114,Cairn University-Langhorne,3034889,2691460,2281764,2175317,2061425,2047922,1743994,1674747,
183910,Caldwell University,9459423,10571979,7061382,7595598,5219423,5675728,5139592,3455729,
110361,California Baptist University,21962153,23226251,19587530,13547270,11296106,10100515,8330268,7174396,
110918,California Christian College,1355,0,0,0,0,,0,0,
110370,California College of the Arts,4520631,4944095,4615524,4040498,3668318,3946204,3247556,2555594,
478634,California College San Diego,18535,59168,101810,72958,33073,15196,12608,14109,
485263,California College San Diego,31300,151252,157630,252075,207883,72268,128599,,
474890,California College San Diego-CollegeAmerica-Phoenix,96269,132544,167234,123028,94727,129225,168681,49824,
487649,California Institute of Advanced Management,,,,,,,,,
110316,California Institute of Integral Studies,,,,,,,,,
110404,California Institute of Technology,6185797,5423890,4556624,4832414,4845027,4412843,4131385,4297439,
111081,California Institute of the Arts,2399975,2872726,2835683,2171383,1682099,1766167,1357000,1230136,
486488,California Jazz Conservatory,5100,9500,5200,17600,4600,14200,,,
110413,California Lutheran University,16643010,16167085,12671479,14157040,12115960,9941658,9117185,8640680,
111391,California Western School of Law,,,,,,,,,
150172,Calumet College of Saint Joseph,900831,637853,546460,665466,599495,608116,605638,404463,
176789,Calvary University,211827,79745,237460,52637,39344,57980,57368,38879,
169099,Calvin Theological Seminary,,,,,,,,,
169080,Calvin University,16905782,15505620,16624546,15304024,15215436,13694050,13035427,11995220,
165167,Cambridge College,0,1000,2636,0,0,6500,1047,2000,
198136,Campbell University,14437558,17059693,15793650,14222088,11884759,11891779,8656289,8335469,
156365,Campbellsville University,6961512,8446766,7146500,7606617,6128450,5752632,5838889,5929155,
189705,Canisius College,9324347,7393909,12855085,13584953,13260174,13676350,14247548,13737640,
201548,Capital University,18100629,14373670,13423807,14161737,14505798,14135020,13249228,12231487,
162061,Capitol Technology University,733780,683903,564833,984636,717256,710156,385653,444803,
238430,Cardinal Stritch University,3209767,2443668,2599354,3096628,2896170,2914465,3114366,2234816,
173258,Carleton College,12750983,11479369,10540727,11991664,9855110,9009159,9740397,8291539,
211431,Carlow University,2943031,4109035,3791055,3572239,3223707,2742334,2625700,2473181,
211440,Carnegie Mellon University,27929303,28633881,30855967,27631470,22673153,20820570,20120160,17045209,
199971,Carolina Christian College,17860,17600,,0,0,,0,2385,
461032,Carolina College of Biblical Studies,1816,8501,0,0,0,0,0,0,
489937,Carolina University,228505,382454,125826,68352,17600,,,,
180106,Carroll College,7970154,5865901,6121948,6579812,6988707,6199160,4874259,5324243,
238458,Carroll University,15046220,13009284,12629384,11020208,11543919,11241299,9234022,8817533,
219806,Carson-Newman University,8261761,6918802,5415694,7151620,6985183,6982177,6337932,5552349,
238476,Carthage College,19989663,20290454,18159951,17411157,16185252,13919547,12623046,11838650,
201645,Case Western Reserve University,37928634,35671019,34586564,28155675,27502427,28958391,28416079,34360768,
198215,Catawba College,6892848,7159842,6548055,6826120,5704125,5548834,5072000,3954373,
143659,Catholic Theological Union at Chicago,,,,,,,,,
189848,Cazenovia College,5816960,5473633,4162961,4913122,5909662,5731918,7302389,5023569,
211468,Cedar Crest College,5223049,5092517,4943836,3896863,3782913,3466254,2700792,2544342,
201654,Cedarville University,16089339,13937912,12407916,9909491,10103378,8714736,8047033,7901305,
158477,Centenary College of Louisiana,4449421,5460998,3800669,2768444,3256473,2590114,2254610,2628176,
183974,Centenary University,3919680,4239398,3860441,4849690,3965612,3845059,2831951,3544355,
232618,Centra College,8000,4000,9500,,,,,,
106713,Central Baptist College,784144,908656,785684,611714,628444,626752,710676,412146,
154855,Central Christian College of Kansas,1123115,1553096,1706413,1059493,511679,1443962,1133154,623642,
176910,Central Christian College of the Bible,358097,271400,387748,433472,326380,435525,464800,512102,
153108,Central College,9386020,6772831,7476461,7483847,6787017,8899451,5619155,5571754,
445267,Central Methodist University-College of Graduate and Extended Studies,0,0,0,0,2575,,,,
176947,Central Methodist University-College of Liberal Arts and Sciences,4516527,4631409,3905405,3003098,3314094,3589611,3418719,3368919,
488004,Central Yeshiva Beth Joseph,,,,,,,,,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,102253,57889,46616,36326,46425,82004,97681,59406,
156408,Centre College,10724630,9847913,10107917,9147752,8294635,8051319,7394419,6163832,
492069,Champion Christian College,15850,9953,0,,,,,,
230852,Champlain College,11710639,11020612,10151981,10880808,7944638,8022728,6950165,5893456,
111948,Chapman University,39774217,35809161,34976912,30611403,25733952,26320533,23271447,21834726,
111966,Charles R Drew University of Medicine and Science,11550,143000,9500,,,0,0,0,
217688,Charleston Southern University,8687933,8100310,8482957,8665689,9521044,7093363,6677202,6005542,
444778,Charlotte Christian College and Theological Seminary,,,490,0,,,0,2500,
211556,Chatham University,6658158,6060766,5994769,4056497,4181061,2134221,2313960,2050543,
211583,Chestnut Hill College,5235480,3390315,4088444,4658079,3851652,3209800,2470994,3252771,
437732,Chicago School of Professional Psychology - College of Nursing,50353,4094,26140,32353,27805,2206,600,375,
492607,Chicago School of Professional Psychology at Dallas,,,,,,,,,
144014,Chicago Theological Seminary,,,,,,,,,
198303,Chowan University,5005606,4788556,6228674,5656369,6078016,5109754,4566420,4484537,
189981,Christ the King Seminary,,,,,,,,,
219833,Christian Brothers University,6903615,7307090,7155014,6052757,5252674,5892242,4239215,4117392,
150215,Christian Theological Seminary,,,,,,,,,
112127,Church Divinity School of the Pacific,,,,,,,,,
201867,Cincinnati College of Mortuary Science,,,,,,,,,
244233,City College-Fort Lauderdale,17700,20250,9000,6000,800,800,2500,500,
406547,City College-Gainesville,7250,6500,5750,11300,1500,15360,3500,500,
434539,City College-Miami,500,33000,3000,3000,12500,7500,4000,0,
234915,City University of Seattle,,,0,,,,,0,
217873,Claflin University,1449254,2980154,1977263,2027048,1418838,996953,1126670,1634998,
112251,Claremont Graduate University,,,,,,,,,
112260,Claremont McKenna College,7184250,6679162,7500935,5065051,5211786,4344466,5180574,4765165,
124283,Claremont School of Theology,,,,,,,,,
138947,Clark Atlanta University,3440137,3817379,3678996,5005838,3105447,2389536,3936157,2274027,
165334,Clark University,16246437,13477511,13226308,10835578,14074811,10867730,12338179,10212183,
153126,Clarke University,2509132,3802879,2823797,2247294,2810721,2626837,2506215,1943869,
211024,Clarks Summit University,747945,851672,780046,782401,577414,757551,976327,504772,
180832,Clarkson College,43100,13700,94875,97700,100075,91750,97825,114750,
190044,Clarkson University,29166927,28110674,21785123,24027032,22553937,21021917,19856776,20241116,
156417,Clear Creek Baptist Bible College,81458,56885,30993,14694,72668,31185,17779,44429,
169327,Cleary University,1324857,524375,680147,345607,419811,349866,300041,75555,
202046,Cleveland Institute of Art,3276470,3551962,3078550,2901911,3311196,2324452,2531164,2284251,
202073,Cleveland Institute of Music,1232800,1477443,1740800,1530900,1816350,1396500,1494500,1364605,
177038,Cleveland University-Kansas City,0,1000,1000,19615,0,0,,0,
217891,Clinton College,182779,137160,20055,29291,26300,43980,47698,61500,
153144,Coe College,12862608,12660599,11895890,10513371,9797827,9354336,8688086,7741680,
217907,Coker University,4794992,5280644,3080702,3696895,2803121,2957296,2731060,1777130,
161086,Colby College,10855531,12577837,12115455,9968623,8692985,7120120,8024266,6866850,
182634,Colby-Sawyer College,8374845,6767674,7473248,6496650,6956965,8559881,11224635,12677364,
190080,Colgate Rochester Crozer Divinity School,,,,,,,,,
190099,Colgate University,15593951,15912169,14310298,13928560,15281871,13485332,11605797,10525081,
169442,College for Creative Studies,4984589,4081976,3522312,3732203,3665399,2847512,2562851,2431012,
388520,College of Biblical Studies-Houston,829,0,0,6947,1658,9213,13317,19368,
413617,College of Menominee Nation,2102,16000,17360,6524,9000,29000,24666,19512,
193399,College of Mount Saint Vincent,11073647,10094608,9938919,8531036,2162659,9308494,5794940,6276079,
167394,College of Our Lady of the Elms,3773344,3140735,3600248,3179542,3221151,3302434,3136413,3279843,
174747,College of Saint Benedict,12969117,12092022,13665372,12502353,11021176,12393425,11618147,9591376,
181604,College of Saint Mary,1403904,1606207,1288685,1918140,1335451,1298690,1429800,1489143,
160959,College of the Atlantic,3643632,2896464,3267453,2718939,2429297,2106436,3048038,1766705,
166124,College of the Holy Cross,19488536,18451935,17421257,15023370,13874338,13447755,10974321,12239104,
178697,College of the Ozarks,5066930,4831082,4809391,4342700,3835384,2571273,3167133,2519438,
448752,CollegeAmerica-Colorado Springs,,30913,51390,61819,47273,87983,98355,24785,
103945,CollegeAmerica-Flagstaff,3000,6000,11972,10144,6592,27997,36745,121600,
448761,CollegeAmerica-Fort Collins,,24623,30934,24645,34179,7954,18823,8500,
126669,Colorado Christian University,7140983,6890986,6168771,6115503,4833550,4834811,4225701,3423367,
126678,Colorado College,11265811,9712463,9406419,8241214,10793936,8858203,7859308,6358649,
177065,Columbia College,2031642,2105813,2352485,2507935,1605298,1364169,1546397,1542179,
217934,Columbia College,680267,727083,1039450,2236707,2848781,1960778,1820092,2427898,
144281,Columbia College Chicago,22338027,10662012,10246109,9310915,11726128,10381858,11689329,7930519,
112570,Columbia College Hollywood,86596,53250,66340,40500,79109,78108,73925,68638,
238573,Columbia College of Nursing,,,,,,,,,
217925,Columbia International University,1744932,1430005,893520,769991,846415,839648,744845,610009,
139348,Columbia Theological Seminary,,,,,,,,,
190150,Columbia University in the City of New York,42332018,40097332,38165263,35273577,32375073,34576721,28275367,27156329,
202170,Columbus College of Art and Design,4821061,4092445,4644666,4046925,4284365,3107748,2977839,3064376,
459417,Compass College of Cinematic Arts,9000,0,0,22310,2600,0,0,0,
177083,Conception Seminary College,11300,15500,35143,19756,26400,31250,24439,13250,
190248,Concordia College,2244697,1706655,2490128,2207119,1999710,2035942,2342000,2176149,
173300,Concordia College at Moorhead,13766272,14251520,12910332,11202097,10247622,9633228,11792539,10148862,
177092,Concordia Seminary,,,,,,,,,
150288,Concordia Theological Seminary,,,,,,,,,
224004,Concordia University Texas,3830193,3422863,4239339,3455207,3830169,2930283,1844417,2273140,
169363,Concordia University-Ann Arbor,3587338,3508164,2863777,2624396,2076925,2219754,2335370,1691694,
144351,Concordia University-Chicago,7206316,7633190,6074349,6145376,4526239,4583820,5284295,3942772,
112075,Concordia University-Irvine,6598242,6069202,5838010,7213417,5218740,4812744,4842016,3441301,
180984,Concordia University-Nebraska,6318634,7300846,6979546,5791314,5840984,5172255,4037867,3836753,
208488,Concordia University-Portland,,4985218,3896606,3647888,2597162,2779043,2768504,3206568,
173328,Concordia University-Saint Paul,3297046,1862033,2177295,1834931,1754538,1499835,1487346,3065691,
238616,Concordia University-Wisconsin,11031934,9643765,9062938,6699775,8022754,8461374,7308173,7223365,
128902,Connecticut College,16303241,14402197,11348300,10481515,9440346,8162862,9112248,6936693,
217961,Converse College,16000,1600000,1615742,1103234,723485,955010,3823197,2697546,
165495,Conway School of Landscape Design,,,,,,,,,
190372,Cooper Union for the Advancement of Science and Art,6998345,7354594,6074081,6793680,5413422,6926348,6970487,7059217,
210331,Corban University,4089232,4351134,3478564,3797256,3956585,3081386,3118244,2681833,
153162,Cornell College,8392224,8187720,7917745,7127050,6195742,5936409,6243301,6576247,
190415,Cornell University,66066035,65376525,62704785,54037813,51146166,50767990,49550761,54413116,
