UnitID,Institution Name,Students from the full-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D),Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),
213358,La Roche University,165,155,172,197,174,165,174,169,
213367,La Salle University,736,692,603,530,678,706,707,722,
213376,Lackawanna College,6,1,0,190,198,181,174,205,
213385,Lafayette College,692,632,616,628,617,593,574,608,
407629,Lake Erie College of Osteopathic Medicine,,,,,,,,,
213400,Lancaster Bible College,128,123,124,135,127,91,96,89,
213446,Lancaster Theological Seminary,,,,,,,,,
213507,Lebanon Valley College,350,379,343,371,350,350,334,401,
213543,Lehigh University,1192,1161,1200,1192,1231,1145,1143,1128,
213668,Lycoming College,247,211,273,274,313,284,255,338,
213774,Manor College,15,100,61,92,87,96,119,121,
213826,Marywood University,334,383,279,308,305,323,369,384,
213987,Mercyhurst University,508,457,580,460,506,476,533,544,
213996,Messiah University,575,577,603,590,613,567,613,600,
214069,Misericordia University,336,342,361,357,371,344,414,318,
211130,Missio Theological Seminary,,,,,,,,,
214148,Moore College of Art and Design,71,63,55,70,58,62,82,68,
214157,Moravian College,367,384,397,408,307,279,296,283,
214166,Mount Aloysius College,89,92,81,117,109,122,113,131,
214175,Muhlenberg College,491,496,539,525,549,528,527,547,
214272,Neumann University,318,254,290,275,291,366,378,423,
214883,Peirce College,1,0,1,2,1,2,5,0,
214971,Pennsylvania Academy of the Fine Arts,28,32,29,24,17,13,9,15,
215053,Pennsylvania College of Art and Design,44,57,58,53,40,34,47,38,
442356,Pennsylvania College of Health Sciences,11,18,7,0,1,0,0,0,
215123,Philadelphia College of Osteopathic Medicine,,,,,,,,,
215415,Pittsburgh Technical College,16,17,30,464,531,458,438,469,
215424,Pittsburgh Theological Seminary,,,,,,,,,
215442,Point Park University,453,483,472,467,456,414,390,360,
215619,Reconstructionist Rabbinical College,,,,,,,,,
215628,Reformed Presbyterian Theological Seminary,,,,,0,0,0,,
215655,Robert Morris University,675,703,714,689,733,819,683,595,
215691,Rosemont College,67,101,101,97,97,75,53,86,
216047,Saint Charles Borromeo Seminary-Overbrook,9,8,14,11,12,8,5,7,
215743,Saint Francis University,288,263,296,355,338,339,329,325,
215770,Saint Joseph's University,994,955,1145,1064,1206,1139,1094,1010,
215798,Saint Vincent College,338,374,337,367,391,385,289,331,
215813,Saint Vincent Seminary,,,,,,,,,
214564,Salus University,,,,,,,,,
215947,Seton Hill University,298,348,308,310,277,300,264,277,
216278,Susquehanna University,539,507,552,555,495,488,529,501,
216287,Swarthmore College,405,380,405,397,399,370,361,375,
216311,Talmudical Yeshiva of Philadelphia,33,37,32,32,28,32,30,34,
215105,The University of the Arts,342,342,338,335,283,370,333,341,
216348,Theological Seminary of the Reformed Episcopal Church,,,,,,,,,
216357,Thiel College,149,108,113,137,187,209,195,250,
216366,Thomas Jefferson University,471,388,,,,,,,
216463,Trinity Episcopal School for Ministry,,,,,,,,,
213631,United Lutheran Seminary,,,,,,,,,
215062,University of Pennsylvania,2406,2367,2367,2328,2297,2288,2330,2348,
215929,University of Scranton,828,784,868,793,937,783,868,905,
215132,University of the Sciences,274,297,268,274,325,388,425,407,
216542,University of Valley Forge,72,71,111,92,72,98,120,135,
216524,Ursinus College,328,357,326,362,427,390,407,383,
216597,Villanova University,1610,1646,1587,1611,1599,1554,1542,1551,
216667,Washington & Jefferson College,290,276,374,333,314,280,323,321,
216694,Waynesburg University,244,309,302,268,268,333,286,326,
216807,Westminster College,273,254,291,253,241,247,273,313,
216816,Westminster Theological Seminary,,,,,,,,,
216852,Widener University,628,597,583,693,572,632,536,538,
216931,Wilkes University,492,441,499,443,431,459,462,433,
217013,Wilson College,127,124,90,80,78,55,40,47,
442064,Won Institute of Graduate Studies,,,,,,,,,
217040,Yeshivath Beth Moshe,9,3,8,11,14,14,13,9,
217059,York College of Pennsylvania,793,763,724,699,851,841,850,853,
