UnitID,Institution Name,Grand total (EF2019_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2019_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full-time adjusted fall 2018 cohort (EF2019D_RV),Students from the full-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D_RV),Full-time adjusted fall 2017 cohort (EF2018D_RV),Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Full-time adjusted fall 2016 cohort (EF2017D_RV),Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Full-time adjusted fall 2015 cohort (EF2016D_RV),Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Full-time adjusted fall 2014 cohort (EF2015D_RV),Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Full-time adjusted fall 2013 cohort (EF2014D_RV),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Full-time adjusted fall 2012 cohort (EF2013D_RV),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Full-time adjusted fall 2011 cohort (EF2012D_RV),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1920),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1819_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Total expenses-Total amount (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Total expenses-Total amount (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Total expenses-Total amount (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Total expenses-Total amount (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Total expenses-Total amount (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Total expenses-Total amount (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Total expenses-Total amount (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),Total expenses-Total amount (F1112_F2_RV),
188526,Albany College of Pharmacy and Health Sciences,185,185,191,191,186,185,154,153,188,188,213,213,243,243,247,247,191,137,185,149,153,123,188,154,213,187,243,195,247,200,212,177,36745,35105,33621,31981,31081,30131,28900,27595,2925435,2893374,2521648,1822000,2367500,2163110,2222460,2170191,55402537,49791223,51444313,47349161,46417075,46311824,41288529,46042720,40499118,47200396,38615529,47835244,23298363,46666031,21258400,44345323,
188535,Albany Law School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66973794,20471106,66073279,18942219,67357721,18578018,64659751,18008560,66809503,19354131,70016775,22284845,56790189,24134831,47899668,27226048,
188580,Albany Medical College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101064000,400610000,115264000,398096000,98766000,378758000,97915000,348301000,102920806,323126254,99213964,288155790,84204906,273515612,76393351,249626367,
128498,Albertus Magnus College,246,246,169,169,115,115,132,129,145,142,159,157,143,137,125,124,169,114,115,78,129,89,142,100,157,107,137,115,121,112,150,94,33260,32060,31140,30526,29650,28930,28378,28358,4641704,3126407,1971083,2048179,1917978,2019820,2149642,1550858,26162088,30322333,26275879,26838928,7850942,24345546,6948392,26592071,6799067,27043262,6474325,27348776,5433307,29461999,4474506,29780093,
168546,Albion College,415,415,428,428,515,515,402,402,455,455,357,357,346,346,360,360,428,341,515,386,402,318,455,371,357,287,346,289,360,290,385,280,48275,45590,43050,41040,39313,37485,36051,34194,16147767,15944929,18223615,12427715,12968809,8123466,7210691,6680663,170105514,63773359,174309623,62083494,176849628,57104868,173073245,59500080,181488489,55025646,187707113,53066919,173147287,48128602,161163055,54751154,
132842,Albizu University-Miami,5,4,6,5,17,15,8,7,8,5,12,6,10,9,11,4,5,3,15,13,7,5,5,3,6,3,9,5,4,4,8,5,12444,12444,12444,12384,12384,12240,12048,12048,0,0,0,0,0,0,0,0,,11448065,,13016818,,13068301,,12549603,,14422471,,14662008,,14446028,,14947651,
210571,Albright College,370,370,575,575,464,464,596,596,493,493,540,540,655,655,410,410,575,398,464,316,596,410,493,352,540,420,655,501,410,293,519,384,25642,45306,43454,41544,39850,38220,36660,35320,5777679,20123933,13123204,15862102,11500282,11892204,14489599,8063939,69353651,50449715,69325252,51658898,67742285,54428540,62894902,53449958,65568547,54443167,64423254,53560772,57785112,51647535,51253102,53585888,
237118,Alderson Broaddus University,271,271,256,256,309,309,260,260,333,333,346,346,438,438,394,394,256,127,309,159,260,148,333,183,346,189,438,247,394,227,137,91,29220,27910,26610,25350,24140,22740,22740,22740,5021857,4313978,4728969,4211381,4884047,4310227,5544017,5062893,17367369,24208128,18150386,25860957,17923351,26065246,17715229,26726383,5137746,25360857,5381351,23508543,5499257,20028494,10691284,17197845,
188641,Alfred University,458,458,437,437,418,418,417,417,452,452,489,489,535,535,536,536,437,318,418,306,417,283,452,343,489,369,535,401,536,400,559,382,34770,29188,28114,27078,26261,26026,25430,27794,8860517,8117497,7535568,6782751,6964067,7943006,8376934,8086090,138253806,73360145,129318223,70311673,118618959,69503372,105846496,67195256,107966345,65956009,108873666,65323812,93754316,65693775,85945117,70661060,
156189,Alice Lloyd College,199,199,209,209,224,224,156,156,213,213,229,229,189,189,200,199,203,121,209,101,90,73,205,173,207,132,189,142,199,125,182,90,12230,11550,11550,11550,11460,10980,10620,10100,620717,698196,754463,550971,525374,505182,507524,483769,45026330,14867434,43329427,14667548,40783945,14246296,38008067,13825599,37046188,13485220,35791310,13258076,31852216,12792935,28952264,12493453,
210669,Allegheny College,500,496,474,470,484,481,553,551,492,489,476,473,604,601,587,584,469,405,481,396,551,449,489,406,472,394,600,500,584,499,559,496,49260,47540,45970,44250,42470,40660,39100,37610,17915988,16760723,15418880,16699836,13220879,11826037,13121452,12317472,230452902,73972226,220835715,82137830,204512720,77063260,181636170,77664739,183134080,79927462,184693333,78238747,162801245,76798201,146516149,75176610,
200873,Allegheny Wesleyan College,15,14,13,13,16,15,19,18,12,12,24,24,15,15,11,11,12,7,15,10,18,16,10,9,24,16,15,12,11,5,8,3,7000,7000,5000,5000,5000,4800,4800,4800,15500,15310,35018,36499,32174,95304,35683,23026,293358,1151984,258308,1042082,228654,889946,217688,877081,183662,908737,,790376,116627,786688,115142,832919,
152798,Allen College,,,,,,,,,,,,,1,1,1,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19052,18662,18226,17769,17373,19295,18829,18103,,,,,,,5750,2000,7880114,10605411,7457276,9517193,6885464,9075191,6678037,8461532,5656103,8065937,2601700,7606256,1872763,7173954,1805613,6547891,
217624,Allen University,241,229,271,263,189,183,138,135,176,172,189,189,180,179,125,121,256,143,183,67,135,49,172,82,189,73,179,90,121,54,179,109,13340,12940,13140,13140,13140,13140,11940,12140,868246,717232,412005,99786,340497,100000,100000,171852,315639,16575386,739913,15484882,312884,13768248,734959,15395229,312884,16163690,,13369240,312884,17419803,312884,23403507,
110468,Alliant International University-San Diego,3,,1,,9,9,10,,12,12,16,16,26,25,5,4,0,0,9,6,0,0,11,4,16,7,24,20,4,3,0,0,14880,14600,14310,17312,16800,16350,15816,15190,,,0,26840,49444,55108,84845,2400,,,,,,,,,,,1261586,76727717,1333343,76146289,1260273,81661834,
168591,Alma College,387,384,404,404,408,408,447,447,336,336,356,356,378,378,435,435,404,312,408,321,447,342,336,268,356,298,375,296,435,343,392,315,41398,40258,38768,37310,35428,34220,32660,30960,11201612,11182482,10843864,11325172,8024786,7746352,7703498,8622521,124518463,51583304,124001841,50697784,120712604,49521882,109946264,48294142,114761906,46783052,116462048,45488637,102679827,44009065,96751711,43566952,
210775,Alvernia University,399,399,435,434,371,371,345,345,401,401,376,376,389,389,412,411,434,313,371,276,345,267,401,327,376,286,389,301,411,292,376,281,36350,34900,33640,32270,31100,30080,29060,27950,7216954,7596733,6068187,5253325,6173692,5324848,4142736,4361837,26524784,61046030,26943683,58120275,24737774,56250990,21839253,56184668,22407663,54591528,22835679,53583202,20572623,50442109,19663518,48540862,
238193,Alverno College,171,170,187,185,197,196,168,163,231,225,198,193,208,202,199,191,164,116,187,127,162,115,223,161,192,132,202,149,191,137,191,139,29456,28302,28277,26932,25660,24434,23231,22126,2529749,2557864,2668373,2142116,2313757,2307041,2080767,1703863,31658366,39166427,29962845,39535958,27709006,40509305,23854949,42674410,25425125,44077083,25317427,44161203,22260140,41876483,19843863,42159561,
222628,Amberton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40989877,6767819,40907900,6448222,38281011,6114741,34566591,5718831,34374233,5723990,,5507871,27920358,5217499,23584437,5210614,
219505,American Baptist College,23,22,19,18,8,7,20,16,14,11,14,11,10,9,9,5,13,10,6,4,13,8,11,8,9,6,9,6,5,3,14,7,12474,10074,10074,10074,10074,9610,9350,9372,0,5300,2120,47457,15330,10860,50711,500,1800774,4388337,1729580,4265943,1749725,4257180,1648712,3633371,1768207,3007799,2101146,2233038,1738815,2174473,2136808,2205319,
210809,American College of Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60893467,38726053,68079599,39374922,63416853,40856703,58847567,37912466,52954618,36066611,49808426,32639834,41310907,30448404,34956582,29158396,
430591,American College of Traditional Chinese Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3809336,,4761053,,4763420,,4550395,
109086,American Conservatory Theater,,,,,,,,,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,30456,29560,28705,27801,26951,,,,,,11250,13800,13375,,,,25476819,26737832,25691809,27750331,24684059,25757283,23540015,24690088,24971547,22879586,25302449,20608970,23403043,21176064,21697189,20168000,
108870,American Film Institute Conservatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13012602,36082514,12614035,34972176,11997003,34265122,11489725,33647189,12099523,32030951,7961927,31848925,7561179,32247987,9250529,28262642,
103787,American Indian College Inc,,,,,,,,,16,8,24,24,15,15,9,9,,,,,,,,,17,11,14,6,6,4,8,5,,,,,11700,11700,12000,11700,,,,,,33937,44375,15230,,,,,,,,,5000,1943315,110366,1971612,109862,1921565,119429,2441612,
164447,American International College,379,378,346,342,373,369,322,320,341,337,309,308,346,344,308,307,342,236,369,237,320,193,337,233,308,222,344,237,307,199,256,157,36930,35680,34470,33140,31870,30940,30040,29158,9373428,8507680,8631291,7543235,7452488,5888900,7298989,5835510,20673572,54709944,19500413,53097572,17991847,52355957,15669771,52879846,15500858,51679578,15195268,48532817,10199296,44796317,8901421,45786340,
116846,American Jewish University,,,6,6,10,10,4,4,10,8,12,12,7,7,12,12,,,10,7,4,2,8,7,12,6,7,6,12,10,8,6,,31946,30938,30338,30236,29132,27900,27080,,123012,248079,69897,71972,123942,52220,102048,22193737,26067206,22105188,25810254,22193737,24622259,21021049,24601813,22559067,22932628,22962937,23468741,21622002,23921369,21631471,22873974,
188854,American Musical and Dramatic Academy,533,533,545,545,563,563,598,598,531,531,606,606,462,462,503,503,172,137,180,131,163,117,183,147,204,153,161,130,177,147,205,162,40444,38900,37370,35900,33920,32620,31820,31308,4496498,5219863,4839967,4557425,3454885,4159116,3481282,3032540,,80461212,,70475903,,66853577,,62880022,,54931129,,48173182,,49371595,,42040737,
131159,American University,1754,1753,1758,1752,1785,1780,1683,1679,1787,1779,1787,1784,1626,1623,1597,1594,1752,1519,1776,1560,1676,1505,1779,1597,1784,1574,1623,1439,1594,1406,1538,1380,49889,48459,46615,44853,43103,41833,40649,39499,27940310,24949466,33726524,29729923,33645526,30797535,24825703,24532997,705027000,626446000,676430000,585455000,622000000,534717000,558089000,505581000,590000000,491363000,546000000,475033000,535000000,463985000,466000000,453380000,
164465,Amherst College,470,470,492,492,471,471,471,471,477,477,469,469,466,466,463,463,492,476,471,452,471,455,477,458,469,459,466,459,463,452,461,454,58640,56426,54310,52476,50562,48526,46574,44610,14807509,16732808,13294060,11682635,12040654,13072158,11854512,10777976,2473283206,219660432,2377537246,203407526,2248140501,194996830,2031842927,199446914,2193510735,180208286,2149202662,178278441,1823748203,175812917,1640666036,167607223,
100690,Amridge University,3,3,1,1,19,5,23,3,34,16,12,6,7,3,13,9,0,0,0,0,0,0,11,1,3,2,3,0,8,3,8,6,6950,6900,6900,7180,6900,6900,6870,6800,3000,0,9800,5300,17180,38240,4680,18056,174805,7286508,174804,6875035,174805,7385164,174804,7713852,174805,8064960,174804,8348077,174805,8820585,174805,8521392,
151865,Anabaptist Mennonite Biblical Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19507534,4039757,19585191,3870931,18109526,4087409,16743201,4079368,17427621,4140564,17157080,4199348,15992105,4356478,15108600,4293365,
150066,Anderson University,330,330,396,396,347,346,425,423,426,421,441,432,442,434,519,515,396,272,346,223,423,308,421,324,432,324,434,324,515,378,505,378,31230,30450,29710,28650,27680,26850,26280,25560,4937121,5980801,4508096,5860642,5780060,5947231,5372968,6418120,32246000,44555000,35280000,43816000,32408000,45072000,29902000,48290000,31276000,47163000,29581000,48434000,25477000,50717000,21732000,49770000,
217633,Anderson University,639,639,643,642,681,679,670,668,666,665,648,646,505,502,542,530,642,514,679,539,668,498,665,502,646,473,502,386,530,389,511,395,29230,28000,26970,25880,24860,23750,22790,21730,10009541,9485766,8973602,7957637,8056896,7346513,5606686,5785168,45967230,58843025,46133121,56560580,44683602,53308352,40902989,46388254,41155422,42376322,40530638,38140824,37847840,37180686,,33273489,
164474,Andover Newton Theological School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20107819,5413562,19658450,7860907,17046513,7526939,19109119,7871628,19918038,7626336,18317476,7166205,15177287,7710525,
168740,Andrews University,283,279,296,289,280,272,304,296,271,265,273,260,321,307,388,385,289,251,272,222,296,261,265,230,259,206,307,241,383,301,367,291,30158,29288,28436,27684,27000,26256,25470,24478,4625475,4584370,4280675,4537484,3364731,2831418,3061674,4032901,55603709,93683437,54998281,95241805,53052757,92283145,49005962,95410812,52308442,102521964,43059109,97882268,40398951,96908664,36099181,94496721,
164492,Anna Maria College,269,269,318,318,272,272,218,218,235,232,170,168,243,242,247,246,318,207,272,170,218,150,232,155,168,109,242,160,246,169,223,135,38630,37860,37130,36110,35074,34060,32134,30676,6714844,7601200,6121028,4625399,4416241,2766843,3778754,3654775,5561223,27289195,5152861,25972705,4769545,24828506,4574232,24734154,4266443,24632133,3535889,24616096,3279094,25615866,633783,24235268,
458113,Antioch College AG,3,1,5,2,2,1,11,7,5,2,11,6,5,3,8,7,0,0,0,0,6,2,2,2,2,2,1,1,4,2,7,6,8420,8420,8100,8100,8100,8160,8050,6830,11065,0,0,12940,6556,15625,9100,28511,24200,475205,25114,555362,24015,569544,20951,593775,24457,639352,23076,566793,22214,556426,21352,614631,
245838,Antioch University-Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245892,Antioch University-Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245865,Antioch University-New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442392,Antioch University-PhD Program in Leadership and Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245847,Antioch University-Santa Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245883,Antioch University-Seattle,,,,,,,,,,,,,20,20,26,26,,,,,,,,,0,0,,,25,0,25,2,,,,,21315,21315,20595,20055,,,,,,,60433,105736,,,,,,,,,,,,,,,,,
441511,Apex School of Theology,,,23,15,97,67,62,54,102,87,53,34,63,44,136,114,,,67,48,54,47,87,67,33,32,44,40,70,63,70,63,5100,5100,5100,5100,5000,5000,4900,4900,,825,10000,10000,10000,10000,10000,10000,,,,4399621,,4251982,,4107908,,3534918,,3026387,,2895127,,2169232,
172972,Apostolic Bible Institute Inc,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,8,4,,,,,,,,3220,,,,,,,,,,,,,,,,,,,,,,,7000,856653,
237136,Appalachian Bible College,40,37,38,38,41,41,41,41,43,43,35,34,61,60,73,73,38,28,33,28,27,23,24,22,21,16,48,35,47,28,35,26,15162,14720,14290,14000,13590,13590,12945,12680,254184,245988,268683,205415,230412,166101,293172,290749,1682121,5804316,1657650,8258075,1629018,7490532,1512947,6785295,1527135,6006251,1487251,6005653,1445820,6165988,1372195,6079316,
