UnitID,Institution Name,Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),
146339,Judson University,6866123,8395484,8423469,8387522,15567325,15716992,12532292,11144384,
461139,Jung Tao School of Classical Chinese Medicine,,,,,,,,,
213251,Juniata College,117274164,122307061,115779230,107541922,110564368,106785783,95329154,78688365,
170532,Kalamazoo College,240343609,240993994,226973570,206774239,219847239,222047672,192294969,169495896,
177746,Kansas City Art Institute,72375666,68719639,63989235,56832309,54490317,54959400,48110798,51879831,
179812,Kansas City University of Medicine and Biosciences,8197298,8169533,8211762,6440953,5957285,5754321,5552498,5180637,
155414,Kansas Wesleyan University,31179899,27104685,27152173,26842460,27080504,26419441,25109820,17859423,
440031,Keck Graduate Institute,67477149,65511904,64528134,62333121,55322440,59018288,53127821,50124606,
192165,Kehilath Yakov Rabbinical Seminary,,,,,,,,,
135081,Keiser University-Ft Lauderdale,,203164,2000,187564,,,,,
177816,Kenrick Glennon Seminary,21938463,21437785,21921893,17190680,17031132,17660562,15513113,17459628,
157100,Kentucky Christian University,6467361,6328994,6281284,6179851,6178242,6202127,5591675,5376766,
157030,Kentucky Mountain Bible College,3751792,3517944,3438595,3010112,2294564,2364575,2080828,1898520,
157076,Kentucky Wesleyan College,35472406,36757113,36092016,34327772,37471515,32630440,30350865,27863489,
203535,Kenyon College,422019041,413864403,238192748,208850915,218644080,212159850,195216515,184782162,
461847,Keser Torah-Mayan Hatalmud,,,,,,,,,
203544,Kettering College,2530499,,,,,,,2267395,
169983,Kettering University,90353355,86552982,82614985,75431508,80958608,81288498,70740094,63760379,
192192,Keuka College,14551199,14414475,14215637,13312585,13261050,13397500,11504599,10022947,
213303,Keystone College,6660167,8090764,7764036,7489408,7768045,,7462100,6740723,
220516,King University,37475393,36580953,36725864,34423214,36706729,35638722,32942594,28090997,
213321,King's College,86771190,84545282,77806569,68256248,70165262,67426065,60127322,49512080,
260956,Knowledge Systems Institute,,,,,,,,,
146427,Knox College,170174020,160083659,143246261,123722376,127782026,124428259,98752347,84362700,
192244,Kol Yaakov Torah Center,,,,,,,,,
171881,Kuyper College,3398832,2457353,1920897,8454583,8127456,7900126,7762333,6820783,
213358,La Roche University,6068411,5904372,5742494,5328532,5253695,5273928,4733658,4415278,
213367,La Salle University,80311293,85073509,85131784,81634258,87982244,87350063,81486938,71684681,
117627,La Sierra University,20118049,19583269,18493205,18327880,16775905,16573743,16144391,14643533,
165264,Laboure College,5678956,3106682,2768718,2525266,2613359,2561252,2445886,1994265,
213385,Lafayette College,861784000,870742000,833069000,774729000,809061387,832811462,749031061,640768818,
140234,LaGrange College,53005237,56374021,50950801,49011535,51768145,56165600,53957195,,
117168,Laguna College of Art and Design,2961235,2690309,2430045,2163320,2159660,2066653,1732085,1357592,
203580,Lake Erie College,33272781,34512142,33739308,31461132,32722506,33370115,30271761,27369420,
407629,Lake Erie College of Osteopathic Medicine,2977275,2913651,2673555,2621003,2068935,1958497,1654633,934298,
146481,Lake Forest College,87498703,90640225,87796299,83907058,88604926,83284791,77791034,69490549,
146490,Lake Forest Graduate School of Management,,,,,,,,,
238980,Lakeland University,17944616,17197269,16313942,14876422,14577876,14623503,12596986,11982281,
146533,Lakeview College of Nursing,14437757,14894184,13340686,11137495,11141520,10550244,9432410,8676101,
213400,Lancaster Bible College,14285556,13911215,13384848,12888371,13324114,11429779,10606962,10159512,
213446,Lancaster Theological Seminary,14128506,13349490,13285150,12461487,12270776,12807303,11589789,10283259,
247649,Landmark College,22271694,22428421,23442265,21028993,19879396,19157883,16216727,14879459,
220598,Lane College,4901151,5327727,5131230,5209986,4909691,4624643,,4353775,
166391,Lasell University,43224620,41410116,40452573,38415096,39840851,38508438,32239497,28878282,
170675,Lawrence Technological University,50182268,50359860,49114857,45410527,47859681,41478740,28820115,26972974,
239017,Lawrence University,356957659,339831165,318204180,283475799,275447518,249472855,212431926,194312077,
192323,Le Moyne College,193527648,187586275,179065353,158137631,163263270,144832607,131308132,114717089,
220604,Le Moyne-Owen College,12182601,12150791,12866276,12895371,13394531,14784388,14104782,13329256,
213507,Lebanon Valley College,71832368,70470790,67470033,60271445,61750747,58365855,48933275,47826801,
220613,Lee University,23884403,21924907,20588589,19508174,18575224,17064718,14728794,11994470,
198808,Lees-McRae College,30708384,24682612,22606504,20291578,20165912,20979050,19790414,18781485,
213543,Lehigh University,1411641000,1353116000,1278120000,1162711000,1213207000,1215926000,1103449000,1035593000,
198835,Lenoir-Rhyne University,114888773,113483552,106283146,95871466,70626088,73704450,70841714,65418518,
218265,Lenoir-Rhyne University-Lutheran Theological Southern Seminary,,,,,24017381,24442487,22684497,21190838,
166452,Lesley University,189281127,190092197,186949391,173948692,,189782467,170225361,156353512,
433217,Lester E Cox Medical Center-School of Medical Technology,,,,,,,,,
226231,LeTourneau University,22054828,21706520,20348963,20003973,17618290,16737954,13909568,10511207,
209056,Lewis & Clark College,236647648,235613927,221922307,204039279,224942839,224361159,211207498,182270213,
146612,Lewis University,79847566,74417368,68386069,61646926,59972549,56328687,48001340,43288348,
146621,Lexington College,,,,,,,,,
157207,Lexington Theological Seminary,39834906,39204945,37911720,35188899,36504711,36974043,34346534,19950268,
232557,Liberty University,1587918559,1432964225,1290702848,1082996068,1054285564,126421721,101837308,58646614,
117520,Life Chiropractic College West,,,,,,,,,
117104,Life Pacific University,3579106,3568622,3273908,3440307,3561654,3365916,3069721,2977331,
140252,Life University,,,,,,,,,
218238,Limestone University,24796539,20519810,19187979,17044517,16963804,16075592,14070840,13187751,
146667,Lincoln Christian University,5301066,5336831,5227120,5026467,4969959,4711233,8621202,7494123,
146676,Lincoln College,20106194,1969345,20493344,23133249,38919461,39173252,39892256,37759166,
220631,Lincoln Memorial University,41410902,39672684,40849399,34417599,34686173,34163477,32706865,38485910,
117557,Lincoln University,16726,16000,18000,20000,15000,,,,
177968,Lindenwood University,168288870,171451662,160347039,139311378,145884076,143407647,122153740,108945562,
157216,Lindsey Wilson College,27613291,25849431,24272687,20778417,21140437,19395995,16618827,14297224,
209065,Linfield University-McMinnville Campus,109144470,124537898,113840908,101629273,102901985,103454879,88191895,78106592,
437325,Linfield University-Online and Continuing Education,,,,,,,,,
437316,Linfield University-School of Nursing,,,,,,,,,
219976,Lipscomb University,82027831,85036837,79025131,68759762,71442976,68330588,62274543,55828784,
192563,LIU Brentwood,,,,,,,,,
192439,LIU Brooklyn,,,,,,50049493,44517393,37078387,
192554,LIU Hudson at Rockland,,,,,,,,,
432357,LIU Hudson at Westchester,,,,,,,,,
450766,LIU Riverhead,,,,,,,,,
198862,Livingstone College,4968451,4734310,3117236,,,2695520,1825722,1331366,
177986,Logan University,23971141,24114914,21336552,15618806,15071404,15541201,12601511,10712873,
117636,Loma Linda University,407764000,387027000,357670000,338975000,357949000,324865000,272175000,535224364,
192448,Long Island University,238676611,232390240,,,,57054290,49748206,45364339,
166489,Longy School of Music of Bard College,7791741,6983526,6178598,6097262,6523531,7197803,6747233,6172022,
153825,Loras College,41656191,39654373,33468602,30829064,30527135,29035657,24344114,21411554,
474863,Los Angeles Pacific University,,,,,,,,,
159568,Louisiana College,38758224,37885564,36389385,34649708,35776372,35820201,33690231,31054837,
157298,Louisville Presbyterian Theological Seminary,84342866,87146277,80930414,75654610,83678869,83864971,78669978,72983088,
203757,Lourdes University,8455356,8100749,7610488,10887885,11003077,10800564,9413306,7922756,
117946,Loyola Marymount University,476198000,477552000,457488000,418856000,448480000,458000000,412034000,358856000,
146719,Loyola University Chicago,690328000,640303000,593450000,533614000,541667000,538523000,461949000,405955000,
163046,Loyola University Maryland,224629484,228151432,214865828,192806133,206254056,197928830,177155485,156121843,
159656,Loyola University New Orleans,219751052,228164000,230533000,251323000,272625000,289201000,281407000,252870000,
226383,Lubbock Christian University,21120876,21257005,20484135,16684694,16343058,15756208,13748822,14394362,
153834,Luther College,163244362,167343647,161084410,147932122,149032049,145453663,131246266,115569411,
135364,Luther Rice College & Seminary,563237,554123,545976,532584,531478,508102,499066,476216,
173896,Luther Seminary,107573104,103799481,95138192,87130610,89369344,79703646,70975086,68061676,
146728,Lutheran School of Theology at Chicago,45289487,43107836,42374393,43772177,42559320,42184551,30508537,30079500,
213640,Lutheran Theological Seminary at Philadelphia,,,,24837243,24284564,25111243,23428301,21569523,
213668,Lycoming College,201549000,207600000,200823000,183383000,194189000,198093000,167609000,155222000,
129686,Lyme Academy College of Fine Arts,,,,,,4499580,4757384,4174179,
132657,Lynn University,27608363,26639336,25875764,24031367,24273813,24381263,22162868,21273849,
106342,Lyon College,60939637,61076223,61060242,59045129,45031570,45020624,44341429,44352290,
173902,Macalester College,749564000,771294000,748833000,701635000,777358000,749550000,694311000,625068000,
192624,Machzikei Hadath Rabbinical College,,,,,,,,,
146825,MacMurray College,14180173,15953169,15504608,13488255,12092828,10470469,8721734,7021542,
170806,Madonna University,41855458,41180822,39021873,35787244,37645078,38380492,32316402,28534563,
182917,Magdalen College,,,,,,,,,
153861,Maharishi International University,7745000,7806000,7987000,9644000,10199000,10069000,10230000,9891000,
161509,Maine College of Art,8637230,8113222,7432958,6574472,6484072,6418977,4821112,4474000,
203775,Malone University,21081977,17837360,19441375,17677844,18350915,18397130,16266798,14744887,
151777,Manchester University,64469562,62457978,60186210,55818791,55890298,54426033,47293977,42936451,
155496,Manhattan Christian College,3154386,3071637,2917790,2706754,2463660,2364165,2269937,2241532,
192703,Manhattan College,110787779,100562380,89820922,80660193,75942238,72903549,64102231,57903120,
192712,Manhattan School of Music,27018007,26394802,25767239,24640809,24065033,23391928,22699584,20665109,
192749,Manhattanville College,31170263,30838690,29593444,27734737,31811944,11525588,11139774,10869490,
446394,Maple Springs Baptist Bible College and Seminary,,,,,,,,,
239071,Maranatha Baptist University,277062,267062,242061,242062,242061,242062,221566,206798,
192785,Maria College of Albany,1050367,18838728,19833214,19598806,21412162,21174745,18031930,,
151786,Marian University,69273105,63740039,47113830,40140233,39260589,36013451,29624023,26018448,
239080,Marian University,8042133,7853458,7695332,7519507,7444682,7397757,7333066,7257461,
203845,Marietta College,88469294,84756405,76865482,70291929,77830713,78654296,68726490,60081310,
192819,Marist College,297590169,71167181,64696887,56451498,56960149,55302924,46702054,42888844,
230940,Marlboro College,35733063,37619624,37343600,,,38421215,35525685,33072128,
440411,Marlboro College Graduate & Professional Studies,,,,,,,,,
239105,Marquette University,698000000,668800000,626200000,550100000,551600000,531700000,457800000,407000000,
198899,Mars Hill University,49656453,52019575,47882761,41833477,43926787,41847554,37234625,37228878,
123943,Marshall B Ketchum University,8817757,8858680,8349660,7453365,7590525,7451765,6533524,6045894,
173452,Martin Luther College,15051589,13999131,13161109,11962290,11802598,10595337,9385550,7944137,
220701,Martin Methodist College,14786053,15308647,14643134,13961236,14673690,13565722,12628900,11701911,
151810,Martin University,,,,,,,,,
232672,Mary Baldwin University,31993779,34370618,36929431,35054270,36881411,37473707,34233017,31722856,
170842,Marygrove College,,1994823,1941673,1941673,1755756,1453185,1451185,1442185,
163295,Maryland Institute College of Art,91048956,90780041,86140551,79047507,85217842,80808051,72165215,62963648,
164085,Maryland University of Integrative Health,705393,688106,607831,615613,673115,671831,670520,652128,
209108,Marylhurst University,,,20529266,17691550,19008708,19550714,16717772,15202445,
118541,Marymount California University,12939075,12360679,10714170,9461698,9754899,9854137,8204979,7750934,
192864,Marymount Manhattan College,21266020,20985702,19814639,18070480,18723910,17863772,15857198,16251046,
232706,Marymount University,46908426,46300321,43049606,37393325,37475510,37794809,32603376,22956872,
220710,Maryville College,93050197,96710280,69951350,64327967,67915248,68084457,62798768,55629508,
178059,Maryville University of Saint Louis,51828568,54683669,50295156,43983817,46008973,39818788,40335923,34009901,
213826,Marywood University,43578582,41648961,37738214,33456046,35388057,39334440,40943929,39638150,
431594,Massachusetts General Hospital Dietetic Internship,,,,,,,,,
166683,Massachusetts Institute of Technology,17443750000,16400027000,14832483000,13181515000,13474743000,12425131000,10857976000,10149564000,
369002,Massachusetts School of Law,,,,,,,,,
173957,Mayo Clinic College of Medicine and Science,668944000,6930660000,205010000,192529000,85100000,177300000,128000000,124499709,
365426,Mayo Clinic Graduate School of Biomedical Sciences,,,205010000,192529000,85100000,177300000,128000000,124499709,
173966,Mayo Clinic School of Health Sciences,,,205010000,192529000,85100000,177300000,128000000,124499709,
146977,McCormick Theological Seminary,78180933,79853669,81338911,78876160,85099995,87044035,79234168,75386453,
164270,McDaniel College,129882000,132035000,120714000,109996000,115530000,114131000,100498000,89759000,
147013,McKendree University,32501506,43335652,41668810,35604660,37030053,36769842,30879206,28584224,
226587,McMurry University,93811703,101794371,90960972,81128634,81256570,77904893,69975197,59920763,
155511,McPherson College,47125339,47294586,46071827,44411112,35693527,36200171,33753953,31545017,
166656,MCPHS University,1131297702,1020134444,847844732,663342274,578157797,472833911,343072847,258088497,
147031,Meadville Lombard Theological School,25442176,25181650,24586191,13527461,13023436,12501807,11856776,11745614,
192925,Medaille College,1506637,1470738,1446646,1307528,1283016,1172621,1129928,967688,
239169,Medical College of Wisconsin,937909000,930961000,875817000,748862000,778315000,748637000,597865000,470510000,
220792,Meharry Medical College,182713407,183666348,164695585,182560862,177403547,173554452,159978206,146192390,
220808,Memphis College of Art,1262379,4593045,4455112,4575003,4902419,4685297,4201936,3951286,
220871,Memphis Theological Seminary,11481754,11632087,11202716,10272557,10419542,10001447,8972539,9205635,
118693,Menlo College,22837232,24838280,25349627,24601810,27789348,29078564,27667859,27183837,
140447,Mercer University,376609510,345981665,319135024,275593608,251100662,256919032,208286144,191665145,
193016,Mercy College,255751263,245533842,224444449,192479137,193535022,147765416,103289493,64043194,
153977,Mercy College of Health Sciences,7630399,7133402,5520976,5061737,3944954,3426933,3373118,3301705,
203960,Mercy College of Ohio,21625114,20155863,13995187,13000509,12801812,12297212,9864782,9002644,
213987,Mercyhurst University,27056711,27708196,28830000,29431000,30250000,27046522,26876000,23779000,
198950,Meredith College,115701677,113533181,104762705,94303471,96523500,93872324,81375442,75673912,
166850,Merrimack College,58940409,58487986,54359205,49914139,51275154,46564537,39457565,35083804,
193061,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,,,,,,,,,
193052,Mesivta Torah Vodaath Rabbinical Seminary,1405158,1316538,1393394,1106789,1147971,,,1109595,
193070,Mesivtha Tifereth Jerusalem of America,,,,,,,,,
417752,Messenger College,547736,543454,542452,540752,539222,529330,514577,430608,
213996,Messiah University,137947425,138195362,134388110,126049512,131124490,136764981,123524660,120273910,
147129,Methodist College,2287823,2180499,1683304,1922560,976806,1087430,726219,701411,
203997,Methodist Theological School in Ohio,46070085,47205778,46541983,42238849,44817496,44397663,39211079,36294628,
198969,Methodist University,21081128,21721992,26469103,22505205,22180719,23700868,19986114,17031940,
190114,Metropolitan College of New York,695792,695792,695792,695742,693887,692412,691589,679387,
166869,MGH Institute of Health Professions,44737000,43395000,40907996,36489000,39412000,40590000,36011000,33289000,
434414,Michigan Jewish Institute,,,,,,,,,
169220,Michigan School of Psychology,4440,4440,4440,4440,4440,4440,4440,4434,
169628,Michigan State University-College of Law,24614281,26062240,26574997,28590001,29294443,31828380,14824318,14688237,
245953,Mid-America Christian University,2710232,2690908,2673638,2625212,2589197,2552352,2597630,2589704,
151962,Mid-America College of Funeral Service,,,,,,,,,
199458,Mid-Atlantic Christian University,3502542,3318024,3123575,3385451,3132500,3040534,2769128,2257957,
157359,Mid-Continent University,,,,,,,5956555,4441079,
155520,MidAmerica Nazarene University,13612468,11783813,10567807,9338653,9340540,8935246,7886826,7098048,
220996,Middle Tennessee School of Anesthesia Inc,,25000,25000,25001,25000,25000,25000,25000,
230959,Middlebury College,1157786000,1124144000,1073976000,1000598000,1101053639,1081893682,972991750,879690000,
119058,Middlebury Institute of International Studies at Monterey,,,,,,,,,
181330,Midland University,18512620,18788848,16396619,13842041,12654497,10843733,8333613,8251798,
157377,Midway University,29449225,29428240,28022003,25922532,26970034,28441930,24913995,10471979,
178208,Midwestern Baptist Theological Seminary,6137444,5897600,5573915,5256689,5213769,5403326,5057849,4675418,
143853,Midwestern University-Downers Grove,5038257,5020103,4627818,4189260,3561909,3273334,3077818,3063268,
423643,Midwestern University-Glendale,1602392,1432530,1208024,865296,827225,751165,679830,640250,
101675,Miles College,23273985,21675239,20938945,19334286,19080999,18354136,16954732,15845529,
221014,Milligan College,,,,,,23385144,21063707,17385826,
147244,Millikin University,106893139,108326705,108424026,115224138,122312403,124943233,113797731,105513836,
118888,Mills College,196403975,191278617,183274856,170988885,182723112,189288277,174542793,165767934,
175980,Millsaps College,90486787,101477196,100760165,105923939,117902842,123347854,111469724,92081788,
239309,Milwaukee Institute of Art & Design,2998560,3170700,3152534,2965837,3009769,2927991,2790341,2561587,
239318,Milwaukee School of Engineering,70511350,68179004,64979770,58664594,59972726,59540559,49520747,40642558,
174127,Minneapolis College of Art and Design,53550620,55569669,52831665,47917297,51217622,49350276,43097975,35123901,
193247,Mirrer Yeshiva Cent Institute,,,,,,,,,
214069,Misericordia University,54532128,52375474,49223679,43549699,44087114,39366559,30695310,25434408,
211130,Missio Theological Seminary,2121678,2262764,2105766,1806067,1813362,1754845,1580115,1377812,
176053,Mississippi College,88094964,86981427,80942681,73742424,72466782,69750566,65473403,61117287,
178244,Missouri Baptist University,4155379,4000832,3790338,3573266,3606492,3645197,3315324,3119560,
178369,Missouri Valley College,6772321,7110265,6505804,5660378,5595784,5541439,4991170,4766269,
129774,Mitchell College,7728371,7898840,8615022,8057239,8805679,8479053,7272303,6578740,
175281,Mitchell Hamline School of Law,36225142,33850303,30360776,27780009,25183577,27271142,24049199,21543405,
193292,Molloy College,40758565,38240438,36141633,32754252,33957692,33179873,29987818,27992697,
147341,Monmouth College,122619245,118155199,109758138,94774985,100363825,99214230,87233884,77767643,
185572,Monmouth University,109097000,100970000,90313000,78999000,80346000,76438000,67135000,60417000,
262165,Montana Bible College,,,,,,84524,,83524,
127954,Montessori Education Center of the Rockies,,,,,,,,,
436021,Montessori Institute of Milwaukee,,,,,,,,,
199032,Montreat College,9265740,9059062,9262679,9221485,17748699,14735498,12128171,13417121,
166911,Montserrat College of Art,1328644,756411,729153,683322,704245,738235,630256,645772,
147369,Moody Bible Institute,41333022,40246860,39322402,38379618,38239761,37546512,36461302,32404843,
214148,Moore College of Art and Design,29453067,27441223,26576361,20805560,21714876,20400460,15844408,12547987,
214157,Moravian College,117877996,116197713,111317447,102415126,106240788,108683476,98448359,91585695,
140553,Morehouse College,156082460,145139481,141428584,132316622,135887327,137985811,125825999,129432458,
140562,Morehouse School of Medicine,109180151,106123915,103129354,96498930,96081433,91875794,80692818,67225750,
154004,Morningside College,44733961,47053620,43718509,41991542,44913992,46575441,43764014,38050728,
218399,Morris College,10283391,10194264,11206991,12366838,12378158,13972187,13563002,12755805,
214166,Mount Aloysius College,43986493,43616112,41386792,35416017,35028819,29998683,23754593,20012935,
209241,Mount Angel Seminary,16224088,18170051,16814509,16987701,16962701,16685178,14692515,12700105,
204176,Mount Carmel College of Nursing,,,,,,,,,
166939,Mount Holyoke College,794203693,777739103,729438097,667564847,703010972,713514514,638551662,594045153,
166948,Mount Ida College,,,15662287,23526670,15952578,19691748,12644913,11732330,
219198,Mount Marty University,28252427,26608805,26453771,20366019,20127722,19689207,17011486,14975505,
239390,Mount Mary University,22178974,21615862,19596456,17000564,15873321,14734692,11451199,10712083,
154013,Mount Mercy University,29774122,29612897,27154721,25124578,25946589,26784175,24159789,23086145,
204200,Mount Saint Joseph University,59653614,39715342,42688952,36217211,38192996,37545547,32996133,29089627,
193353,Mount Saint Mary College,5997757,5700646,5267966,4885881,4858021,6026113,5960610,6188061,
119173,Mount Saint Mary's University,141808934,140881454,134766278,122465254,129458028,127590736,108548818,97710678,
163462,Mount St. Mary's University,54281563,52340389,50321692,46177138,48144575,47604515,44527411,41472918,
204194,Mount Vernon Nazarene University,22636480,21188471,19672176,17316016,16345843,15080954,13853661,14714866,
237154,Mountain State University,,,,,,,,,
214175,Muhlenberg College,288973791,285926691,272864962,246967162,256685858,257186607,197593274,149466765,
209287,Multnomah University,7850000,7005000,7165000,7160000,7147000,7141000,7124000,7106000,
204264,Muskingum University,76327508,74253000,73644000,70134000,74492000,75210000,65367000,59664000,
127653,Naropa University,8343504,7971345,7637297,7038183,6999641,6792014,5957688,5551693,
239424,Nashotah House,8683778,9535736,10754517,7387600,6487219,8057835,7638944,14034773,
441478,National Graduate School of Quality Management,,,,,,,,,
434034,National Labor College,,,,,,,26565,26565,
147536,National Louis University,36099479,36458085,36561402,31506613,32694522,32302322,29844250,28217727,
119605,National University,780839065,720196866,645465070,573827688,595884453,581250875,479699171,408140254,
147590,National University of Health Sciences,3839730,3797180,3791180,3785730,3780430,3600836,3594371,3557891,
209296,National University of Natural Medicine,1339643,1339143,1338653,1338143,1365866,1365246,406714,406289,
127714,Nazarene Bible College,2772847,2709756,2736663,2233388,1917775,2170756,1982691,1830071,
178518,Nazarene Theological Seminary,11425421,10957202,10968218,9248659,10101630,10354284,9293527,9165866,
193584,Nazareth College,71326126,69127326,65719955,59596542,65163785,67836655,59858988,53947671,
181376,Nebraska Christian College of Hope International University,124873,132078,1302934,1201150,1255197,1216627,672083,698669,
181297,Nebraska Methodist College of Nursing & Allied Health,11106296,11023174,8841202,6914790,6697537,6576589,5841018,5411355,
181446,Nebraska Wesleyan University,58444000,59403000,56087000,50915956,55725877,55801392,50856462,45890356,
163532,Ner Israel Rabbinical College,,,,,,43840901,43938760,45486826,
214272,Neumann University,33851929,32252277,30752163,28018213,28205381,27614546,24238106,22292818,
185758,New Brunswick Theological Seminary,9787993,9564138,9434277,9331371,7668662,7065067,6266551,6895656,
182980,New England College,257136910,14047930,13095457,11650232,11869486,11915333,9274821,8145908,
167093,New England College of Optometry,26696620,25560850,21929339,16852301,15297745,14843249,12984976,12153112,
217305,New England Institute of Technology,220924484,205841772,200077155,183579194,175090039,164956174,147349212,134265003,
167215,New England Law-Boston,86132885,87341477,90069190,89350742,87831588,242397,253099,252599,
167181,New England School of Acupuncture,,,,,,,,,
373827,New England School of Communications,,,,,,,,,
430810,New Hampshire Institute of Art,,15290728,17958924,19265257,23581034,24917963,23789194,23347061,
208725,New Hope Christian College-Eugene,959196,1847668,2014355,1949724,2057808,2735768,1967094,2601740,
159948,New Orleans Baptist Theological Seminary,67868448,64030574,62644914,61221262,59939474,60186595,59226440,58884346,
440396,New Saint Andrews College,,,,,,,,,
366368,New York Academy of Art,430379,419895,438474,390164,395555,393001,341532,339373,
193751,New York Chiropractic College,57331841,58909298,55949119,50901785,147342,149941,161850,179010,
418126,New York College of Health Professions,,,,,,,,,
194073,New York College of Podiatric Medicine,946562,844755,814976,765290,743670,730766,664034,625105,
439783,New York College of Traditional Chinese Medicine,,,,,,,,,
194091,New York Institute of Technology,87908924,111256324,110508940,103378802,101128133,113259931,109089990,54784240,
193821,New York Law School,33511106,33357846,33426900,33325841,32950491,32634270,32307224,32619141,
193830,New York Medical College,70675872,70344644,85574912,81729690,87739389,77522555,68358112,61932436,
194116,New York School of Interior Design,5494169,5406722,4873246,4551712,4563686,4348198,3683815,3071378,
193894,New York Theological Seminary,1001487,2010990,2013100,2102584,2475247,1686606,2038245,1987612,
193900,New York University,4219660090,4222210163,4076048275,3587113000,3475939000,3435034000,2980027000,2800399000,
218414,Newberry College,17988360,17328268,16483153,14730637,14473941,16116536,21526707,23755623,
167251,Newbury College,,500000,500000,2100000,2100000,2100000,1600000,1600000,
155335,Newman University,22136587,18237876,18939838,17784687,22618722,23334217,21276577,16644220,
193973,Niagara University,97242018,102391601,98007638,87282708,95197456,93067094,80898426,72151838,
167260,Nichols College,17344974,15417314,13682006,11343196,9700533,8837894,7457894,,
461795,North American University,,,,,,,,,
199209,North Carolina Wesleyan College,10266037,10809681,10618137,10078237,10674736,10779968,10433138,9355397,
147660,North Central College,119201462,116939127,109986446,98721426,104784275,109479725,96838694,91274932,
174437,North Central University,3316295,3573352,3417070,3187555,3287514,3125808,2827257,2600388,
218441,North Greenville University,34748925,31299423,28356288,25829511,28200202,26137822,20918556,16632823,
147679,North Park University,79526774,76873615,74875698,72046412,74216558,77272025,70471011,64828282,
439817,Northeastern Seminary,5520748,5592934,4539788,4301822,4348954,4472664,3891735,3602500,
167358,Northeastern University,1074592000,847756000,795872000,701958000,743032000,729034000,631395000,578340000,
147697,Northern Baptist Theological Seminary,16799476,17843339,16060416,17643124,17105281,18338192,16617578,15863766,
239512,Northland College,7190962,20916211,23643533,22932092,25167044,20715996,18706752,18093256,
239503,Northland International University,,,,,,386731,129344,341408,
217606,Northpoint Bible College,558608,542788,546008,496375,506869,484529,438209,403777,
443030,NorthShore University HealthSystem School of Nurse Anesthesia,,,,,,,,,
460941,Northwest Institute of Literary Arts,,,,,29027,28431,27804,27191,
142461,Northwest Nazarene University,43367101,56285406,57473418,50275605,53817632,33298768,28464766,25905509,
236133,Northwest University,8968000,8629000,7869000,7327000,7331657,7122701,6843639,4260307,
154101,Northwestern College,56662773,53739229,49413216,44166107,46731119,46684431,43319941,41317514,
174507,Northwestern Health Sciences University,2285934,1884435,1883935,1883935,1345931,1342086,1337501,1335454,
120166,Northwestern Polytechnic University,,,,,,,,,
147767,Northwestern University,8244818000,8386918000,7947574000,7478167000,7588029000,7501116000,6283130000,5574319000,
171492,Northwood University,97912834,99465896,34644044,33928065,34637972,31594879,30556969,29977033,
136206,Northwood University-Florida,,,,,,,,,
227243,Northwood University-Texas,,,,,,,,,
230995,Norwich University,214229000,217770000,209015000,195101000,208796000,206074000,183570000,160089000,
204468,Notre Dame College,10628189,10033782,8406227,6902042,7542105,7279375,6660335,6395582,
120184,Notre Dame de Namur University,24729231,23490031,22547412,20665535,20635727,19653282,16308359,13621433,
163578,Notre Dame of Maryland University,36683769,36113417,34557378,33982752,39303723,38980248,33819886,31370925,
160029,Notre Dame Seminary Graduate School of Theology,,,,5740659,5451005,555153,2765697,2413921,
136215,Nova Southeastern University,170727000,161145000,117806000,104544000,102732000,95431000,81064000,69576000,
194161,Nyack College,4393633,4255808,7027426,11976685,11915093,11624489,10036887,8227760,
221254,O'More College of Design,,,,,,,,,
174525,Oak Hills Christian College,747977,708097,627807,589961,662363,613304,534451,494219,
152099,Oakland City University,5520177,5160362,5046151,4939770,4776658,4633617,4525641,4411083,
101912,Oakwood University,19744545,17659346,15646791,13228594,12667552,12014468,10333321,9288699,
204501,Oberlin College,984675368,947148504,879535245,808300971,871964706,866829551,765803704,708238026,
227289,Oblate School of Theology,25922895,26064934,23535939,19582182,19159619,17680540,14875893,13832126,
120254,Occidental College,448094636,434234019,413429864,371680490,392166640,406096354,356767066,330719886,
140696,Oglethorpe University,34291302,33885630,31724904,30301222,31702970,19664387,19382031,17641326,
201964,Ohio Christian University,5274830,5036198,5294584,4611641,4487412,4097055,2693989,3367399,
204547,Ohio College of Podiatric Medicine,,,,,,,,,
204617,Ohio Dominican University,19975096,22588113,24105749,25140661,27049210,27149602,24263333,23222980,
206002,Ohio Mid-Western College,,,,,,,,,
204635,Ohio Northern University,160642901,166276449,162025243,152853681,167664205,168839674,150660024,131339353,
237640,Ohio Valley University,4583080,1998173,1915950,1773106,1890228,1569659,1416595,1290894,
204909,Ohio Wesleyan University,243081344,239621875,221302091,201610135,216062747,211722867,189136269,175871215,
194189,Ohr Hameir Theological Seminary,,,,,,,,,
